strength,date,Unnamed: 2,filename
113.0,2021-09-28,2021-09-28.5,AR_LIST_2021.09.28_12:00:00.txt
6.0,2021-09-29,2021-09-29.0,AR_LIST_2021.09.29_00:00:00.txt
424.0,2021-10-14,2021-10-10.5,AR_LIST_2021.10.10_12:00:00.txt
386.0,2021-10-14,2021-10-11.0,AR_LIST_2021.10.11_00:00:00.txt
351.0,2021-10-14,2021-10-11.5,AR_LIST_2021.10.11_12:00:00.txt
86.0,2021-10-14,2021-10-12.0,AR_LIST_2021.10.12_00:00:00.txt
30.0,2021-10-14,2021-10-12.5,AR_LIST_2021.10.12_12:00:00.txt
5.0,2021-10-14,2021-10-13.0,AR_LIST_2021.10.13_00:00:00.txt
569.0,2021-10-21,2021-10-16.0,AR_LIST_2021.10.16_00:00:00.txt
605.0,2021-10-21,2021-10-16.5,AR_LIST_2021.10.16_12:00:00.txt
479.0,2021-10-21,2021-10-17.0,AR_LIST_2021.10.17_00:00:00.txt
479.0,2021-10-21,2021-10-17.5,AR_LIST_2021.10.17_12:00:00.txt
306.0,2021-10-21,2021-10-18.0,AR_LIST_2021.10.18_00:00:00.txt
348.0,2021-10-21,2021-10-18.5,AR_LIST_2021.10.18_12:00:00.txt
242.0,2021-10-21,2021-10-19.0,AR_LIST_2021.10.19_00:00:00.txt
290.0,2021-10-20,2021-10-19.5,AR_LIST_2021.10.19_12:00:00.txt
137.0,2021-10-21,2021-10-20.0,AR_LIST_2021.10.20_00:00:00.txt
224.0,2021-10-20,2021-10-20.5,AR_LIST_2021.10.20_12:00:00.txt
111.0,2021-10-21,2021-10-21.0,AR_LIST_2021.10.21_00:00:00.txt
48.0,2021-10-21,2021-10-21.5,AR_LIST_2021.10.21_12:00:00.txt
531.0,2021-10-30,2021-10-21.5,AR_LIST_2021.10.21_12:00:00.txt
966.0,2021-10-30,2021-10-22.0,AR_LIST_2021.10.22_00:00:00.txt
928.0,2021-10-29,2021-10-22.5,AR_LIST_2021.10.22_12:00:00.txt
1004.0,2021-10-30,2021-10-23.0,AR_LIST_2021.10.23_00:00:00.txt
1004.0,2021-10-29,2021-10-23.5,AR_LIST_2021.10.23_12:00:00.txt
1165.0,2021-10-30,2021-10-24.0,AR_LIST_2021.10.24_00:00:00.txt
1025.0,2021-10-29,2021-10-24.5,AR_LIST_2021.10.24_12:00:00.txt
1297.0,2021-10-30,2021-10-25.0,AR_LIST_2021.10.25_00:00:00.txt
1001.0,2021-10-29,2021-10-25.5,AR_LIST_2021.10.25_12:00:00.txt
1024.0,2021-10-30,2021-10-26.0,AR_LIST_2021.10.26_00:00:00.txt
638.0,2021-10-30,2021-10-26.5,AR_LIST_2021.10.26_12:00:00.txt
573.0,2021-10-30,2021-10-27.0,AR_LIST_2021.10.27_00:00:00.txt
314.0,2021-10-30,2021-10-27.5,AR_LIST_2021.10.27_12:00:00.txt
265.0,2021-10-30,2021-10-28.0,AR_LIST_2021.10.28_00:00:00.txt
128.0,2021-10-30,2021-10-28.5,AR_LIST_2021.10.28_12:00:00.txt
126.0,2021-10-30,2021-10-29.0,AR_LIST_2021.10.29_00:00:00.txt
634.0,2021-11-03,2021-10-29.0,AR_LIST_2021.10.29_00:00:00.txt
24.0,2021-10-30,2021-10-29.5,AR_LIST_2021.10.29_12:00:00.txt
845.0,2021-11-02,2021-10-29.5,AR_LIST_2021.10.29_12:00:00.txt
26.0,2021-10-30,2021-10-30.0,AR_LIST_2021.10.30_00:00:00.txt
822.0,2021-11-03,2021-10-30.0,AR_LIST_2021.10.30_00:00:00.txt
