Designation,Strength,dB,Prediction Date,Detection Date
FS-2011-052,1148,2040.1444214909313,2012-01-07.0,2012-01-01
FS-2011-052,1228,2182.3979446081353,2012-01-07.4,2012-01-01
FS-2011-052,954,1695.2211194376428,2012-01-07.0,2012-01-02
FS-2011-052,1092,1940.5726118546827,2012-01-07.5,2012-01-02
FS-2011-052,824,1464.1254484649048,2012-01-07.5,2012-01-03
FS-2011-052,799,1419.6881201732153,2012-01-06.8,2012-01-03
FS-2011-052,645,1145.9895162638436,2012-01-07.3,2012-01-04
FS-2011-052,535,950.5367734263449,2012-01-06.7,2012-01-04
FS-2011-052,318,565.1555687793328,2012-01-07.2,2012-01-05
FS-2011-052,408,724.9482300327933,2012-01-06.6,2012-01-05
FS-2011-052,390,692.9835567764424,2012-01-07.1,2012-01-06
FS-2011-052,405,719.6206058351622,2012-01-06.6,2012-01-06
FS-2011-052,218,387.74975210618544,2012-01-07.2,2012-01-07
FS-2012-001,532,945.2069235189682,2012-01-14.3,2012-01-11
FS-2012-001,861,1529.895267348126,2012-01-14.1,2012-01-12
FS-2012-001,725,1288.1625227482534,2012-01-14.7,2012-01-12
FS-2012-001,954,1695.2211194376428,2012-01-14.5,2012-01-13
FS-2012-001,1003,1782.334912833721,2012-01-14.0,2012-01-13
FS-2012-001,818,1453.4603587657107,2012-01-14.6,2012-01-14
FS-2012-001,383,680.5535739125819,2012-01-14.3,2012-01-14
FS-2012-001,53,97.03913110994624,2012-01-15.1,2012-01-15
FS-2012-002,719,1277.498907213402,2012-01-25.1,2012-01-14
FS-2012-002,1421,2525.6200365087348,2012-01-25.3,2012-01-15
FS-2012-002,990,1759.222669378154,2012-01-25.7,2012-01-15
FS-2012-002,1790,3181.9512265652525,2012-01-25.4,2012-01-16
FS-2012-002,1471,2614.545167459124,2012-01-25.8,2012-01-16
FS-2012-002,1683,2991.6184547931693,2012-01-25.9,2012-01-17
FS-2012-002,1920,3413.211128443615,2012-01-25.5,2012-01-17
FS-2012-002,1785,3173.0569263244415,2012-01-25.6,2012-01-18
FS-2012-002,1723,3062.769587901497,2012-01-26.1,2012-01-18
FS-2012-002,1223,2173.506832355978,2012-01-25.6,2012-01-19
FS-2012-002,1244,2210.849736174771,2012-01-26.0,2012-01-19
FS-2012-002,929,1650.7770135692645,2012-01-25.9,2012-01-20
FS-2012-002,995,1768.1119584348062,2012-01-25.5,2012-01-20
FS-2012-002,915,1625.888837905357,2012-01-25.9,2012-01-21
FS-2012-002,969,1721.8881446831263,2012-01-25.5,2012-01-21
FS-2012-002,970,1723.6659610796175,2012-01-25.5,2012-01-22
FS-2012-002,1047,1860.563138574795,2012-01-26.0,2012-01-22
FS-2012-002,1224,2175.2850520237303,2012-01-26.1,2012-01-23
FS-2012-002,1113,1977.911473598575,2012-01-25.6,2012-01-23
FS-2012-002,1349,2397.5730942509454,2012-01-25.6,2012-01-24
FS-2012-002,1404,2495.3861630611113,2012-01-26.1,2012-01-24
FS-2012-002,1438,2555.854253199051,2012-01-25.7,2012-01-25
FS-2012-002,1765,3137.479962396113,2012-01-26.2,2012-01-25
FS-2012-002,1144,2033.0319906304258,2012-01-26.5,2012-01-26
FS-2012-002,378,671.6752770161698,2012-01-26.3,2012-01-26
FS-2012-002,163,290.31606332721844,2012-01-27.2,2012-01-27
FS-2012-003,403,716.0688951486285,2012-01-20.4,2012-01-15
FS-2012-003,412,732.0518358426349,2012-01-20.5,2012-01-16
FS-2012-003,447,794.2132453388529,2012-01-21.0,2012-01-16
FS-2012-003,447,794.2132453388529,2012-01-21.0,2012-01-17
FS-2012-003,445,790.6609436192277,2012-01-20.4,2012-01-17
FS-2012-003,562,998.5071857378784,2012-01-20.3,2012-01-18
FS-2012-003,440,781.7803014599641,2012-01-20.9,2012-01-18
FS-2012-003,479,851.0533641860718,2012-01-20.3,2012-01-19
FS-2012-003,505,897.2401559918026,2012-01-20.9,2012-01-19
FS-2012-003,377,669.8996445313944,2012-01-20.9,2012-01-20
FS-2012-003,316,561.6056442095089,2012-01-20.4,2012-01-20
FS-2012-003,67,121.26356231106917,2012-01-21.1,2012-01-21
FS-2012-004,513,911.452169165305,2012-01-25.4,2012-01-17
FS-2012-004,359,637.9398684049869,2012-01-24.8,2012-01-17
FS-2012-004,144,256.70476588467557,2012-01-24.3,2012-01-18
FS-2012-004,443,787.1086674134274,2012-01-25.3,2012-01-18
FS-2012-004,36,68.28105335467373,2012-01-24.3,2012-01-19
FS-2012-004,134,239.03017517040024,2012-01-24.8,2012-01-19
FS-2012-004,10,33.60354418247492,2012-01-24.8,2012-01-20
FS-2012-004,9,33.59241415242629,2012-01-24.3,2012-01-20
FS-2012-005,569,1010.9444569740488,2012-01-23.1,2012-01-17
FS-2012-005,738,1311.2673560082728,2012-01-23.1,2012-01-18
FS-2012-005,622,1105.1184572685358,2012-01-23.7,2012-01-18
FS-2012-005,653,1160.2059443627393,2012-01-23.2,2012-01-19
FS-2012-005,638,1133.5503119105397,2012-01-23.7,2012-01-19
FS-2012-005,465,826.1850718541721,2012-01-23.7,2012-01-20
FS-2012-005,441,783.556416957226,2012-01-23.2,2012-01-20
FS-2012-005,152,270.8527016020711,2012-01-23.8,2012-01-21
FS-2012-005,144,256.70476588467557,2012-01-23.4,2012-01-21
