Designation,Carrington Longitude,Strength,Detection Date,Prediction Date
FS-2011-052,305.3,1148,2012-01-01,2012-01-07.0
FS-2011-052,306.4,1228,2012-01-01,2012-01-07.4
FS-2011-052,304.8,954,2012-01-02,2012-01-07.0
FS-2011-052,304.9,1092,2012-01-02,2012-01-07.5
FS-2011-052,304.4,824,2012-01-03,2012-01-07.5
FS-2011-052,306.6,799,2012-01-03,2012-01-06.8
FS-2011-052,306.2,645,2012-01-04,2012-01-07.3
FS-2011-052,308.0,535,2012-01-04,2012-01-06.7
FS-2011-052,308.3,318,2012-01-05,2012-01-07.2
FS-2011-052,308.6,408,2012-01-05,2012-01-06.6
FS-2011-052,308.7,390,2012-01-06,2012-01-07.1
FS-2011-052,308.9,405,2012-01-06,2012-01-06.6
FS-2011-052,307.6,218,2012-01-07,2012-01-07.2
FS-2012-001,210.7,532,2012-01-11,2012-01-14.3
FS-2012-001,211.9,861,2012-01-12,2012-01-14.1
FS-2012-001,211.3,725,2012-01-12,2012-01-14.7
FS-2012-001,212.6,954,2012-01-13,2012-01-14.5
FS-2012-001,213.2,1003,2012-01-13,2012-01-14.0
FS-2012-001,212.0,818,2012-01-14,2012-01-14.6
FS-2012-001,209.0,383,2012-01-14,2012-01-14.3
FS-2012-001,205.0,53,2012-01-15,2012-01-15.1
FS-2012-002,66.1,719,2012-01-14,2012-01-25.1
FS-2012-002,63.8,1421,2012-01-15,2012-01-25.3
FS-2012-002,64.4,990,2012-01-15,2012-01-25.7
FS-2012-002,61.7,1790,2012-01-16,2012-01-25.4
FS-2012-002,62.9,1471,2012-01-16,2012-01-25.8
FS-2012-002,61.3,1683,2012-01-17,2012-01-25.9
FS-2012-002,60.5,1920,2012-01-17,2012-01-25.5
FS-2012-002,59.9,1785,2012-01-18,2012-01-25.6
FS-2012-002,60.4,1723,2012-01-18,2012-01-26.1
FS-2012-002,60.1,1223,2012-01-19,2012-01-25.6
FS-2012-002,60.5,1244,2012-01-19,2012-01-26.0
FS-2012-002,62.4,929,2012-01-20,2012-01-25.9
FS-2012-002,62.0,995,2012-01-20,2012-01-25.5
FS-2012-002,62.5,915,2012-01-21,2012-01-25.9
FS-2012-002,62.0,969,2012-01-21,2012-01-25.5
FS-2012-002,60.9,970,2012-01-22,2012-01-25.5
FS-2012-002,61.6,1047,2012-01-22,2012-01-26.0
FS-2012-002,60.6,1224,2012-01-23,2012-01-26.1
FS-2012-002,60.4,1113,2012-01-23,2012-01-25.6
FS-2012-002,59.4,1349,2012-01-24,2012-01-25.6
FS-2012-002,59.5,1404,2012-01-24,2012-01-26.1
FS-2012-002,57.8,1438,2012-01-25,2012-01-25.7
FS-2012-002,58.4,1765,2012-01-25,2012-01-26.2
FS-2012-002,54.4,1144,2012-01-26,2012-01-26.5
FS-2012-002,50.6,378,2012-01-26,2012-01-26.3
FS-2012-002,45.7,163,2012-01-27,2012-01-27.2
FS-2012-003,125.2,403,2012-01-15,2012-01-20.4
FS-2012-003,124.8,412,2012-01-16,2012-01-20.5
FS-2012-003,124.7,447,2012-01-16,2012-01-21.0
FS-2012-003,124.8,447,2012-01-17,2012-01-21.0
FS-2012-003,125.6,445,2012-01-17,2012-01-20.4
FS-2012-003,126.6,562,2012-01-18,2012-01-20.3
FS-2012-003,125.7,440,2012-01-18,2012-01-20.9
FS-2012-003,126.7,479,2012-01-19,2012-01-20.3
FS-2012-003,126.3,505,2012-01-19,2012-01-20.9
FS-2012-003,126.2,377,2012-01-20,2012-01-20.9
FS-2012-003,126.9,316,2012-01-20,2012-01-20.4
FS-2012-003,123.5,67,2012-01-21,2012-01-21.1
FS-2012-004,67.1,513,2012-01-17,2012-01-25.4
FS-2012-004,68.1,359,2012-01-17,2012-01-24.8
FS-2012-004,73.4,144,2012-01-18,2012-01-24.3
FS-2012-004,67.9,443,2012-01-18,2012-01-25.3
FS-2012-004,73.9,36,2012-01-19,2012-01-24.3
FS-2012-004,73.4,134,2012-01-19,2012-01-24.8
FS-2012-004,73.7,10,2012-01-20,2012-01-24.8
FS-2012-004,73.7,9,2012-01-20,2012-01-24.3
FS-2012-005,89.8,569,2012-01-17,2012-01-23.1
FS-2012-005,88.3,738,2012-01-18,2012-01-23.1
FS-2012-005,88.3,622,2012-01-18,2012-01-23.7
FS-2012-005,87.7,653,2012-01-19,2012-01-23.2
FS-2012-005,87.4,638,2012-01-19,2012-01-23.7
FS-2012-005,87.1,465,2012-01-20,2012-01-23.7
FS-2012-005,87.3,441,2012-01-20,2012-01-23.2
FS-2012-005,85.5,152,2012-01-21,2012-01-23.8
