Designation,Strength,Prediction Date
FS-2011-052_2012-01,689.5384615384615,2012-01-07.5
FS-2012-001_2012-01,666.125,2012-01-15.1
FS-2012-002_2012-01,1222.0,2012-01-27.2
FS-2012-003_2012-01,408.3333333333333,2012-01-21.1
FS-2012-004_2012-01,206.0,2012-01-25.4
FS-2012-005_2012-01,365.9230769230769,2012-01-23.9
FS-2012-006_2012-02,584.7142857142857,2012-02-11.9
FS-2012-007_2012-02,311.0,2012-02-23.1
FS-2012-008_2012-02,425.14285714285717,2012-02-24.6
FS-2012-009_2012-03,478.04545454545456,2012-03-30.1
FS-2012-010_2012-04,360.6,2012-04-10.1
FS-2012-011_2012-05,472.75,2012-05-08.3
FS-2012-012_2012-05,589.625,2012-05-05.3
FS-2012-013_2012-05,294.22222222222223,2012-05-24.9
FS-2012-014_2012-05,1757.9583333333333,2012-06-01.2
FS-2012-015_2012-06,192.33333333333334,2012-06-21.5
FS-2012-016_2012-06,512.0833333333334,2012-06-28.0
FS-2012-017_2012-06,293.3636363636364,2012-07-04.4
FS-2012-018_2012-06,625.5263157894736,2012-07-06.1
FS-2012-019_2012-07,1425.3333333333333,2012-07-24.2
FS-2012-020_2012-07,422.3333333333333,2012-07-20.1
FS-2012-021_2012-07,516.3333333333334,2012-07-22.1
FS-2012-022_2012-07,347.54545454545456,2012-07-25.8
FS-2012-023_2012-07,2190.769230769231,2012-08-02.2
FS-2012-024_2012-07,630.125,2012-07-26.3
FS-2012-025_2012-08,721.0,2012-08-06.3
FS-2012-026_2012-08,783.3478260869565,2012-08-22.2
FS-2012-027_2012-08,235.42105263157896,2012-09-03.1
FS-2012-028_2012-08,474.0,2012-08-31.1
FS-2012-029_2012-09,429.94444444444446,2012-09-15.6
FS-2012-030_2012-09,1031.2608695652175,2012-09-19.1
FS-2012-031_2012-09,609.1,2012-09-18.4
FS-2012-032_2012-09,655.4,2012-09-27.0
FS-2012-033_2012-09,1013.8,2012-09-26.1
FS-2012-034_2012-09,469.7894736842105,2012-10-09.2
FS-2012-035_2012-10,1636.5416666666667,2012-10-15.1
FS-2012-036_2012-10,765.0588235294117,2012-10-12.3
FS-2012-037_2012-10,629.6,2012-11-05.1
FS-2012-038_2012-11,393.6,2012-11-11.2
FS-2012-039_2012-11,334.6666666666667,2012-11-16.9
FS-2012-040_2012-11,223.66666666666666,2012-11-11.0
FS-2012-041_2012-12,482.09090909090907,2012-12-15.2
FS-2012-042_2012-12,296.5,2012-12-23.9
FS-2012-043_2012-12,392.6666666666667,2012-12-18.3
FS-2012-044_2012-12,520.0,2013-01-02.3
FS-2012-045_2012-12,262.0,2012-12-31.1
FS-2012-046_2012-12,553.5,2013-01-01.5
