Date,Frequency
2012-01-03,1
2012-01-09,1
2012-01-15,3
2012-01-17,1
2012-01-22,1
2012-01-27,1
2012-02-11,1
2012-02-13,2
2012-02-19,1
2012-02-24,1
2012-02-25,1
2012-03-04,1
2012-03-10,1
2012-03-12,2
2012-03-17,1
2012-03-21,1
2012-03-23,1
2012-03-24,1
2012-03-29,1
2012-04-11,1
2012-04-15,2
2012-04-18,1
2012-04-25,2
2012-04-29,2
2012-05-03,1
2012-05-04,1
2012-05-06,1
2012-05-09,1
2012-05-11,1
2012-05-12,1
2012-05-14,2
2012-05-19,1
2012-05-23,1
2012-05-25,1
2012-05-26,1
2012-06-01,2
2012-06-02,2
2012-06-10,2
2012-06-11,1
2012-06-27,1
2012-06-28,1
2012-07-05,2
2012-07-21,1
2012-07-24,3
2012-07-25,1
2012-07-27,1
2012-07-29,1
2012-07-31,1
2012-08-01,2
2012-08-03,1
2012-08-04,2
2012-08-07,1
2012-08-08,1
2012-08-17,1
2012-08-19,1
2012-08-26,1
2012-08-28,1
2012-08-29,1
2012-08-31,2
2012-09-01,1
2012-09-04,1
2012-09-08,1
2012-09-11,1
2012-09-13,1
2012-09-17,1
2012-09-19,1
2012-09-20,1
2012-09-25,1
2012-09-26,1
2012-09-27,1
2012-10-03,1
2012-10-08,1
2012-10-10,1
2012-10-12,1
2012-10-13,1
2012-10-16,2
2012-10-19,1
2012-10-21,1
2012-10-24,1
2012-10-30,1
2012-11-06,1
2012-11-07,1
2012-11-08,1
2012-11-09,2
2012-11-12,3
2012-11-15,1
2012-11-21,1
2012-11-25,1
2012-11-28,1
2012-12-06,1
2012-12-16,2
2012-12-19,1
2012-12-26,1
2012-12-28,2
