ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11532,186.0,150.0,Hsx,5.0,1,Alpha,-19.0,80.0
I,11535,135.0,80.0,Cso,4.0,4,Beta,19.0,29.0
I,11537,110.0,40.0,Hsx,1.0,1,Alpha,13.0,4.0
I,11538,117.0,130.0,Dso,9.0,5,Beta,-22.0,11.0
I,11539,102.0,0.0,Axx,1.0,1,Alpha,-23.0,-4.0
I,11540,89.0,100.0,Cai,6.0,13,Beta,-27.0,-17.0
I,11541,82.0,10.0,Axx,1.0,1,Alpha,-17.0,-24.0
I,11542,31.0,20.0,Hax,2.0,2,Alpha,-13.0,-75.0
IA,11534,174.0,,,,,,23.0,68.0
IA,11536,172.0,,,,,,-25.0,66.0
