ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11528,228.0,10.0,Hrx,1.0,2,Alpha,17.0,42.0
I,11529,223.0,60.0,Hsx,1.0,1,Alpha,-11.0,37.0
I,11530,213.0,150.0,Hsx,2.0,1,Alpha,-18.0,27.0
I,11532,185.0,310.0,Dki,7.0,15,Beta,-19.0,-1.0
I,11535,135.0,130.0,Dai,10.0,8,Beta-Gamma,18.0,-51.0
I,11536,173.0,90.0,Dao,9.0,6,Beta,-22.0,-13.0
I,11537,110.0,10.0,Axx,1.0,1,Alpha,12.0,-76.0
I,11538,118.0,30.0,Dro,4.0,2,Beta,-23.0,-68.0
IA,11526,273.0,,,,,,-17.0,87.0
IA,11527,231.0,,,,,,27.0,45.0
IA,11533,221.0,,,,,,-28.0,35.0
IA,11534,173.0,,,,,,17.0,-13.0
