ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11575,187.0,100.0,Hsx,2.0,1,Alpha,7.0,87.0
I,11577,168.0,90.0,Dao,6.0,8,Beta,9.0,68.0
I,11578,174.0,10.0,Cao,4.0,2,Beta,21.0,75.0
I,11579,107.0,180.0,Cso,2.0,4,Beta,-9.0,8.0
I,11582,84.0,350.0,Hhx,3.0,1,Alpha,-12.0,-15.0
I,11583,187.0,90.0,Dso,5.0,6,Beta,12.0,88.0
I,11584,71.0,10.0,Cao,2.0,3,Beta,-23.0,-28.0
IA,11576,175.0,,,,,,-21.0,75.0
IA,11580,100.0,,,,,,19.0,0.0
IA,11581,166.0,,,,,,22.0,66.0
