ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11493,212.0,100.0,Eai,14.0,9,Beta-Gamma,15.0,33.0
I,11494,198.0,120.0,Dso,10.0,5,Beta-Gamma,-18.0,19.0
I,11496,204.0,20.0,Hax,1.0,1,Alpha,16.0,24.0
I,11497,223.0,170.0,Dai,9.0,5,Beta,-21.0,44.0
I,11498,190.0,50.0,Cao,6.0,4,Beta,6.0,11.0
I,11499,189.0,20.0,Cai,19.0,14,Beta-Gamma,15.0,9.0
IA,11495,254.0,,,,,,-15.0,74.0
IA,11500,257.0,,,,,,9.0,77.0
IA,11501,210.0,,,,,,7.0,30.0
IA,11502,182.0,,,,,,-17.0,2.0
IA,11503,249.0,,,,,,9.0,69.0
