ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11459,95.0,450.0,Eac,11.0,39,Beta,-15.0,13.0
I,11460,109.0,490.0,Dkc,10.0,21,Beta,16.0,27.0
I,11461,74.0,10.0,Bxo,2.0,2,Beta,12.0,-8.0
I,11462,141.0,400.0,Dho,9.0,9,Beta,-24.0,59.0
I,11463,160.0,50.0,Cso,3.0,3,Beta,-26.0,79.0
I,11465,55.0,230.0,Dso,6.0,13,Beta,-17.0,-27.0
IA,11454,166.0,,,,,,-12.0,84.0
IA,11457,149.0,,,,,,20.0,67.0
IA,11458,116.0,,,,,,6.0,34.0
IA,11464,109.0,,,,,,23.0,27.0
