ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13216,165.0,110.0,Hsx,2.0,1,Alpha,24.0,59.0
I,13217,140.0,170.0,Hsx,9.0,3,Alpha,-10.0,34.0
I,13219,147.0,10.0,Axx,2.0,3,Alpha,-6.0,41.0
I,13220,122.0,150.0,Hsx,4.0,2,Alpha,-14.0,16.0
I,13225,153.0,10.0,Bxo,5.0,3,Beta,-21.0,47.0
I,13226,112.0,410.0,Dki,10.0,17,Beta,10.0,6.0
I,13229,36.0,240.0,Dao,6.0,2,Beta,30.0,-70.0
IA,13215,187.0,,,,,,22.0,81.0
IA,13218,158.0,,,,,,11.0,52.0
IA,13221,122.0,,,,,,19.0,19.0
IA,13223,147.0,,,,,,17.0,41.0
IA,13224,123.0,,,,,,22.0,20.0
IA,13227,107.0,,,,,,-3.0,1.0
IA,13228,134.0,,,,,,-24.0,28.0
