ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13361,39.0,150.0,Cso,10.0,5,Beta,25.0,75.0
I,13362,9.0,20.0,Hrx,1.0,1,Alpha,-8.0,45.0
I,13363,343.0,800.0,Dko,8.0,20,Beta-Delta,-23.0,20.0
I,13364,2.0,0.0,Axx,0.0,1,Alpha,25.0,39.0
I,13367,19.0,200.0,Eai,11.0,16,Beta-Delta,10.0,56.0
I,13370,302.0,20.0,Cro,8.0,5,Beta,-15.0,-21.0
I,13371,290.0,30.0,Hax,2.0,2,Alpha,-15.0,-34.0
I,13372,271.0,650.0,Eko,15.0,16,Beta,24.0,-53.0
IA,13366,55.0,,,,,,-18.0,91.0
IA,13368,56.0,,,,,,-17.0,92.0
IA,13369,43.0,,,,,,-18.0,79.0
