ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13256,1.0,120.0,Cao,13.0,4,Beta,-22.0,88.0
I,13257,344.0,10.0,Axx,1.0,1,Alpha,-27.0,72.0
I,13260,344.0,100.0,Hax,2.0,1,Alpha,24.0,72.0
I,13262,306.0,70.0,Hax,4.0,4,Alpha,-19.0,34.0
I,13263,353.0,10.0,Bxo,0.0,2,Beta,18.0,81.0
I,13264,278.0,40.0,Hsx,1.0,1,Alpha,15.0,6.0
I,13265,331.0,60.0,Cso,9.0,4,Beta,21.0,59.0
I,13266,245.0,10.0,Bxo,2.0,2,Alpha,9.0,-27.0
IA,13259,347.0,,,,,,-17.0,74.0
IA,13267,239.0,,,,,,-17.0,-33.0
IA,13268,263.0,,,,,,-24.0,-9.0
