ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13315,235.0,160.0,Dao,8.0,5,Beta,-17.0,88.0
I,13318,231.0,90.0,Hsx,2.0,1,Alpha,24.0,84.0
I,13319,203.0,240.0,Eai,13.0,13,Beta-Gamma,-19.0,56.0
I,13320,127.0,20.0,Cso,9.0,3,Beta,10.0,-20.0
I,13321,120.0,180.0,Hax,3.0,2,Alpha,-15.0,-27.0
I,13322,226.0,0.0,Axx,0.0,1,Alpha,16.0,79.0
I,13323,102.0,230.0,Esi,14.0,13,Beta-Gamma,-7.0,-45.0
I,13324,159.0,20.0,Bxo,5.0,6,Beta,15.0,12.0
I,13325,149.0,10.0,Bxo,3.0,2,Beta,11.0,2.0
I,13326,74.0,120.0,Hsx,1.0,1,Alpha,25.0,-73.0
IA,13316,206.0,,,,,,9.0,59.0
