ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13361,40.0,40.0,Hsx,2.0,1,Alpha,24.0,89.0
I,13362,10.0,10.0,Axx,1.0,1,Alpha,-8.0,59.0
I,13363,345.0,780.0,Dko,8.0,16,Beta-Delta,-22.0,34.0
I,13367,20.0,170.0,Dao,10.0,9,Beta,10.0,69.0
I,13370,303.0,10.0,Bxo,5.0,4,Beta,-15.0,-8.0
I,13371,291.0,30.0,Hax,2.0,2,Alpha,-15.0,-20.0
I,13372,272.0,770.0,Eko,15.0,11,Beta-Delta,24.0,-39.0
I,13373,245.0,120.0,Dao,7.0,6,Beta,8.0,-66.0
I,13374,242.0,30.0,Hsx,1.0,1,Alpha,-9.0,-69.0
IA,13364,3.0,,,,,,25.0,52.0
