ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13256,359.0,210.0,Eso,11.0,9,Beta-Gamma,-22.0,74.0
I,13257,344.0,30.0,Hsx,1.0,1,Alpha,-28.0,59.0
I,13260,344.0,70.0,Hax,2.0,1,Alpha,23.0,59.0
I,13262,306.0,60.0,Hsx,3.0,4,Alpha,-19.0,20.0
I,13263,351.0,60.0,Cao,7.0,8,Beta,18.0,66.0
I,13264,279.0,30.0,Hsx,3.0,2,Alpha,15.0,-5.0
I,13265,329.0,60.0,Dso,7.0,4,Beta,20.0,43.0
I,13266,243.0,20.0,Bxo,3.0,4,Beta,8.0,-42.0
I,13267,239.0,10.0,Axx,1.0,1,Alpha,-18.0,-46.0
I,13268,264.0,10.0,Axx,2.0,1,Alpha,-24.0,-21.0
IA,13259,346.0,,,,,,-17.0,60.0
