ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13190,124.0,880.0,Dkc,9.0,6,Beta-Gamma-Delta,-14.0,78.0
I,13192,121.0,130.0,Cao,5.0,4,Beta,16.0,70.0
I,13194,132.0,120.0,Dao,5.0,4,Beta,-24.0,84.0
I,13196,82.0,10.0,Cso,5.0,2,Beta,15.0,34.0
I,13197,72.0,60.0,Dao,8.0,5,Beta,20.0,24.0
I,13198,58.0,60.0,Cso,3.0,1,Beta,26.0,10.0
I,13199,42.0,60.0,Cao,8.0,12,Beta,16.0,-5.0
I,13200,13.0,40.0,Cao,2.0,2,Beta,23.0,-35.0
I,13201,350.0,20.0,Hsx,1.0,1,Alpha,25.0,-58.0
IA,13191,134.0,,,,,,10.0,85.0
