strength,date,,filename
611,2019-02-13.2,2019-02-06.5,AR_LIST_2019.02.06_12:00:00.txt
512,2019-02-13.7,2019-02-07.0,AR_LIST_2019.02.07_00:00:00.txt
768,2019-02-13.2,2019-02-07.5,AR_LIST_2019.02.07_12:00:00.txt
806,2019-02-13.7,2019-02-08.0,AR_LIST_2019.02.08_00:00:00.txt
942,2019-02-13.2,2019-02-08.5,AR_LIST_2019.02.08_12:00:00.txt
822,2019-02-13.7,2019-02-09.0,AR_LIST_2019.02.09_00:00:00.txt
709,2019-02-13.3,2019-02-09.5,AR_LIST_2019.02.09_12:00:00.txt
546,2019-02-13.8,2019-02-10.0,AR_LIST_2019.02.10_00:00:00.txt
369,2019-02-13.4,2019-02-10.5,AR_LIST_2019.02.10_12:00:00.txt
228,2019-02-13.9,2019-02-11.0,AR_LIST_2019.02.11_00:00:00.txt
49,2019-02-13.4,2019-02-11.5,AR_LIST_2019.02.11_12:00:00.txt
No,se,pudo,abrir,el,archivo:,/home/daniel/Documentos/GoSA/Far_Side/FarSide-data/Strength,in,Time/2019/AR_LIST_2019.03.14_12:00:00.txt
409,2019-04-07.4,2019-03-29.0,AR_LIST_2019.03.29_00:00:00.txt
553,2019-04-07.0,2019-03-29.5,AR_LIST_2019.03.29_12:00:00.txt
680,2019-04-07.5,2019-03-30.0,AR_LIST_2019.03.30_00:00:00.txt
875,2019-04-07.0,2019-03-30.5,AR_LIST_2019.03.30_12:00:00.txt
918,2019-04-07.5,2019-03-31.0,AR_LIST_2019.03.31_00:00:00.txt
1067,2019-04-07.0,2019-03-31.5,AR_LIST_2019.03.31_12:00:00.txt
1073,2019-04-07.5,2019-04-01.0,AR_LIST_2019.04.01_00:00:00.txt
1013,2019-04-07.0,2019-04-01.5,AR_LIST_2019.04.01_12:00:00.txt
1223,2019-04-07.6,2019-04-02.0,AR_LIST_2019.04.02_00:00:00.txt
1153,2019-04-07.1,2019-04-02.5,AR_LIST_2019.04.02_12:00:00.txt
1270,2019-04-07.7,2019-04-03.0,AR_LIST_2019.04.03_00:00:00.txt
1044,2019-04-07.2,2019-04-03.5,AR_LIST_2019.04.03_12:00:00.txt
1061,2019-04-07.7,2019-04-04.0,AR_LIST_2019.04.04_00:00:00.txt
747,2019-04-07.1,2019-04-04.5,AR_LIST_2019.04.04_12:00:00.txt
608,2019-04-07.5,2019-04-05.0,AR_LIST_2019.04.05_00:00:00.txt
479,2019-04-06.9,2019-04-05.5,AR_LIST_2019.04.05_12:00:00.txt
364,2019-04-07.4,2019-04-06.0,AR_LIST_2019.04.06_00:00:00.txt
401,2019-04-06.7,2019-04-06.5,AR_LIST_2019.04.06_12:00:00.txt
228,2019-04-07.3,2019-04-07.0,AR_LIST_2019.04.07_00:00:00.txt
26,2019-04-07.1,2019-04-07.5,AR_LIST_2019.04.07_12:00:00.txt
451,2019-05-06.0,2019-05-01.0,AR_LIST_2019.05.01_00:00:00.txt
500,2019-05-05.7,2019-05-01.5,AR_LIST_2019.05.01_12:00:00.txt
564,2019-05-06.2,2019-05-02.0,AR_LIST_2019.05.02_00:00:00.txt
527,2019-05-05.7,2019-05-02.5,AR_LIST_2019.05.02_12:00:00.txt
438,2019-05-06.3,2019-05-03.0,AR_LIST_2019.05.03_00:00:00.txt
427,2019-05-05.7,2019-05-03.5,AR_LIST_2019.05.03_12:00:00.txt
298,2019-05-06.3,2019-05-04.0,AR_LIST_2019.05.04_00:00:00.txt
264,2019-05-05.8,2019-05-04.5,AR_LIST_2019.05.04_12:00:00.txt
163,2019-05-06.4,2019-05-05.0,AR_LIST_2019.05.05_00:00:00.txt
124,2019-05-05.9,2019-05-05.5,AR_LIST_2019.05.05_12:00:00.txt
93,2019-05-06.4,2019-05-06.0,AR_LIST_2019.05.06_00:00:00.txt
20,2019-05-06.1,2019-05-06.5,AR_LIST_2019.05.06_12:00:00.txt
No,se,pudo,abrir,el,archivo:,/home/daniel/Documentos/GoSA/Far_Side/FarSide-data/Strength,in,Time/2019/AR_LIST_2019.06.01_00:00:00.txt
No,se,pudo,abrir,el,archivo:,/home/daniel/Documentos/GoSA/Far_Side/FarSide-data/Strength,in,Time/2019/AR_LIST_2019.06.27_12:00:00.txt
No,se,pudo,abrir,el,archivo:,/home/daniel/Documentos/GoSA/Far_Side/FarSide-data/Strength,in,Time/2019/AR_LIST_2019.06.28_00:00:00.txt
