Semana,Filas_unicas,
2014-00,4.0,645.8
2014-01,2.0,1315.357142857143
2014-02,2.0,790.0588235294117
2014-03,4.0,2202.3478260869565
2014-04,4.0,1567.6666666666667
2014-05,3.0,412.53333333333336
2014-06,4.0,594.9
2014-07,2.0,1107.3333333333333
2014-08,5.0,996.2333333333332
2014-09,1.0,1024.439024390244
2014-10,3.0,651.44
2014-11,5.0,664.1724137931035
2014-12,1.0,535.44
2014-13,4.0,542.3636363636364
2014-14,4.0,927.4333333333332
2014-15,2.0,429.3333333333333
2014-16,2.0,292.6666666666667
2014-17,2.0,1475.7037037037037
2014-18,5.0,1262.6764705882354
2014-19,2.0,825.6764705882352
2014-20,4.0,367.5348837209302
2014-21,2.0,2635.222222222222
2014-22,1.0,977.3076923076924
2014-23,2.0,1039.4
2014-24,2.0,1264.421052631579
2014-25,3.0,3614.931034482759
2014-26,9.0,1106.6666666666667
2014-27,3.0,1209.24
2014-28,0.0,1370.6
2014-29,1.0,2438.972972972973
2014-30,7.0,731.0689655172414
2014-31,2.0,709.7333333333333
2014-32,2.0,1671.3333333333333
2014-33,7.0,1535.448275862069
2014-34,1.0,680.5434782608696
2014-35,4.0,1199.6666666666667
2014-36,3.0,1628.95
2014-37,4.0,955.1090909090908
2014-38,5.0,1318.4545454545455
2014-39,3.0,1386.8915662650602
2014-40,1.0,2361.086956521739
2014-41,3.0,2793.966101694916
2014-42,3.0,1183.4561403508771
2014-43,1.0,1495.253333333333
2014-44,1.0,2636.24
2014-45,4.0,2327.64
2014-46,1.0,2551.274509803922
2014-47,4.0,1611.2424242424242
2014-48,1.0,2359.985294117647
2014-49,4.0,2111.866666666667
2014-50,0.0,1154.0
2014-51,3.0,1322.2183908045977
2014-52,3.0,2038.3023255813955
