Mitad_semana,Filas_unicas
2013-00,2.0
2013-00.5,3.0
2013-01,6.0
2013-01.5,0.0
2013-02,1.0
2013-02.5,0.0
2013-03,0.0
2013-03.5,1.0
2013-04,2.0
2013-04.5,1.0
2013-05,0.0
2013-05.5,0.0
2013-06,0.0
2013-06.5,1.0
2013-07,3.0
2013-07.5,0.0
2013-08,0.0
2013-08.5,3.0
2013-09,3.0
2013-09.5,1.0
2013-10,3.0
2013-10.5,0.0
2013-11,0.0
2013-11.5,0.0
2013-12,1.0
2013-12.5,1.0
2013-13,3.0
2013-13.5,2.0
2013-14,1.0
2013-14.5,0.0
2013-15,1.0
2013-15.5,0.0
2013-16,1.0
2013-16.5,1.0
2013-17,2.0
2013-17.5,2.0
2013-18,1.0
2013-18.5,2.0
2013-19,4.0
2013-19.5,0.0
2013-20,2.0
2013-20.5,0.0
2013-21,3.0
2013-21.5,1.0
2013-22,0.0
2013-22.5,0.0
2013-23,0.0
2013-23.5,3.0
2013-24,2.0
2013-24.5,1.0
2013-25,2.0
2013-25.5,0.0
2013-26,2.0
2013-26.5,1.0
2013-27,0.0
2013-27.5,0.0
2013-28,3.0
2013-28.5,1.0
2013-29,1.0
2013-29.5,0.0
2013-30,1.0
2013-30.5,2.0
2013-31,0.0
2013-31.5,2.0
2013-32,0.0
2013-32.5,1.0
2013-33,2.0
2013-33.5,0.0
2013-34,5.0
2013-34.5,0.0
2013-35,0.0
2013-35.5,1.0
2013-36,0.0
2013-36.5,1.0
2013-37,2.0
2013-37.5,3.0
2013-38,1.0
2013-38.5,0.0
2013-39,1.0
2013-39.5,2.0
2013-40,3.0
2013-40.5,0.0
2013-41,3.0
2013-41.5,2.0
2013-42,1.0
2013-42.5,1.0
2013-43,5.0
2013-43.5,1.0
2013-44,2.0
2013-44.5,2.0
2013-45,4.0
2013-45.5,1.0
2013-46,2.0
2013-46.5,0.0
2013-47,1.0
2013-47.5,1.0
2013-48,1.0
2013-48.5,0.0
2013-49,6.0
2013-49.5,0.0
2013-50,0.0
2013-50.5,3.0
2013-51,1.0
2013-51.5,1.0
2013-52,0.0
2013-52.5,0.0
