ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11309,153.0,70.0,Hsx,1.0,1,Alpha,23.0,75.0
I,11312,120.0,190.0,Hsx,3.0,1,Alpha,23.0,42.0
I,11313,116.0,110.0,Cso,9.0,10,Beta-Gamma,-14.0,38.0
I,11314,57.0,300.0,Cko,5.0,3,Beta,27.0,-21.0
I,11315,109.0,10.0,Bxo,3.0,3,Beta,19.0,31.0
I,11316,49.0,310.0,Dko,7.0,10,Beta,-12.0,-28.0
I,11317,36.0,70.0,Hsx,1.0,1,Alpha,-27.0,-41.0
I,11318,96.0,50.0,Dso,4.0,4,Beta,20.0,18.0
I,11319,48.0,80.0,Cso,7.0,11,Beta,10.0,-29.0
I,11320,117.0,10.0,Bxo,3.0,3,Beta,-22.0,39.0
