ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11362,131.0,60.0,Hsx,7.0,1,Alpha,7.0,85.0
I,11363,109.0,280.0,Dho,8.0,3,Beta,-20.0,62.0
I,11364,104.0,80.0,Cso,4.0,3,Beta,17.0,57.0
I,11365,138.0,120.0,Hsx,10.0,1,Alpha,16.0,91.0
I,11366,60.0,50.0,Cso,7.0,2,Beta,18.0,13.0
I,11372,43.0,40.0,Dso,4.0,6,Beta,8.0,-3.0
I,11373,98.0,20.0,Bxo,6.0,5,Beta,-31.0,51.0
I,11374,353.0,160.0,Hsx,3.0,2,Alpha,-17.0,-54.0
I,11375,356.0,70.0,Cso,6.0,3,Beta,9.0,-52.0
IA,11367,80.0,,,,,,-18.0,33.0
IA,11368,49.0,,,,,,-16.0,1.0
IA,11369,61.0,,,,,,22.0,13.0
IA,11370,79.0,,,,,,-24.0,31.0
IA,11371,63.0,,,,,,9.0,15.0
