ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11250,209.0,70.0,Cso,2.0,4,Beta,-26.0,48.0
I,11251,169.0,80.0,Hsx,2.0,3,Alpha,16.0,8.0
I,11254,137.0,50.0,Cai,8.0,15,Beta,-23.0,-23.0
I,11255,153.0,10.0,Bxo,3.0,3,Beta,18.0,-7.0
I,11256,154.0,20.0,Dro,4.0,4,Beta,9.0,-7.0
I,11257,217.0,50.0,Dai,4.0,12,Beta,19.0,56.0
IA,11245,241.0,,,,,,14.0,79.0
IA,11248,234.0,,,,,,20.0,72.0
IA,11249,249.0,,,,,,-16.0,87.0
IA,11252,142.0,,,,,,25.0,-19.0
IA,11253,230.0,,,,,,14.0,68.0
