ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11341,55.0,10.0,Axx,1.0,1,Alpha,8.0,91.0
I,11343,40.0,50.0,Hsx,1.0,1,Alpha,28.0,76.0
I,11346,341.0,80.0,Cso,5.0,7,Beta,-17.0,17.0
I,11347,348.0,10.0,Axx,1.0,1,Alpha,8.0,24.0
I,11350,308.0,70.0,Dso,8.0,7,Beta,26.0,-16.0
I,11351,328.0,10.0,Axx,3.0,4,Alpha,-23.0,4.0
I,11352,283.0,170.0,Eso,11.0,4,Beta,-23.0,-41.0
I,11353,266.0,30.0,Hrx,1.0,1,Alpha,7.0,-57.0
I,11354,267.0,210.0,Dso,8.0,8,Beta,-15.0,-56.0
I,11355,251.0,60.0,Cao,3.0,3,Beta,14.0,-73.0
IA,11349,21.0,,,,,,17.0,57.0
