ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11346,340.0,30.0,Cso,3.0,3,Beta,-15.0,82.0
I,11352,285.0,60.0,Hsx,2.0,1,Alpha,-25.0,27.0
I,11353,267.0,10.0,Axx,2.0,2,Alpha,8.0,10.0
I,11354,267.0,40.0,Cso,4.0,7,Beta,-17.0,9.0
I,11355,252.0,100.0,Cso,4.0,10,Beta,14.0,-6.0
I,11356,230.0,300.0,Eao,13.0,11,Beta-Gamma,15.0,-28.0
I,11357,313.0,40.0,Dso,6.0,8,Beta,18.0,55.0
I,11358,195.0,90.0,Hsx,2.0,1,Alpha,19.0,-63.0
IA,11350,311.0,,,,,,25.0,53.0
IA,11351,331.0,,,,,,-24.0,73.0
