ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11352,283.0,40.0,Hsx,1.0,1,Alpha,-23.0,65.0
I,11353,267.0,20.0,Cro,2.0,2,Beta,8.0,49.0
I,11354,268.0,0.0,Axx,0.0,1,Alpha,-16.0,50.0
I,11355,252.0,80.0,Hsx,2.0,1,Alpha,14.0,34.0
I,11356,228.0,190.0,Eso,12.0,5,Beta,16.0,10.0
I,11358,190.0,220.0,Eao,11.0,9,Beta,20.0,-28.0
I,11359,297.0,10.0,Cao,7.0,2,Beta,17.0,79.0
I,11360,215.0,20.0,Cro,4.0,4,Beta,17.0,-3.0
I,11361,172.0,10.0,Cao,3.0,2,Beta,19.0,-46.0
