ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13331,15.0,50.0,Hsx,2.0,2,Alpha,-23.0,80.0
I,13332,6.0,10.0,Axx,1.0,2,Alpha,-10.0,71.0
I,13333,314.0,200.0,Eai,11.0,13,Beta-Gamma,-11.0,19.0
I,13335,285.0,360.0,Eki,13.0,18,Beta-Gamma,-15.0,-10.0
I,13336,278.0,30.0,Cro,4.0,5,Beta,-22.0,-17.0
I,13338,264.0,120.0,Cao,9.0,6,Beta,11.0,-31.0
I,13339,239.0,120.0,Hsx,2.0,1,Alpha,-19.0,-56.0
I,13340,236.0,100.0,Cao,4.0,6,Beta,23.0,-59.0
IA,13334,288.0,,,,,,16.0,-7.0
IA,13337,264.0,,,,,,17.0,-31.0
