ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13217,139.0,130.0,Hsx,2.0,1,Alpha,-12.0,72.0
I,13220,122.0,120.0,Hsx,2.0,1,Alpha,-14.0,55.0
I,13225,152.0,90.0,Dao,7.0,4,Beta,-21.0,85.0
I,13226,114.0,320.0,Dki,10.0,14,Beta,10.0,47.0
I,13229,35.0,300.0,Eki,11.0,16,Beta-Delta,26.0,-32.0
I,13230,10.0,90.0,Hax,2.0,3,Alpha,-23.0,-57.0
I,13231,103.0,30.0,Cro,5.0,3,Beta,21.0,38.0
IA,13219,152.0,,,,,,-6.0,85.0
IA,13221,128.0,,,,,,19.0,61.0
IA,13223,150.0,,,,,,17.0,83.0
IA,13224,129.0,,,,,,22.0,62.0
IA,13227,112.0,,,,,,-3.0,45.0
IA,13228,137.0,,,,,,-24.0,70.0
