ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13379,175.0,180.0,Hsx,2.0,1,Alpha,14.0,76.0
I,13380,124.0,240.0,Dac,9.0,21,Beta,-10.0,25.0
I,13385,177.0,10.0,Axx,1.0,1,Alpha,-15.0,78.0
I,13386,92.0,320.0,Dki,10.0,12,Beta,12.0,-7.0
I,13387,70.0,120.0,Cso,3.0,5,Beta,21.0,-29.0
I,13388,78.0,30.0,Hsx,3.0,2,Alpha,-23.0,-21.0
I,13389,64.0,40.0,Hsx,4.0,3,Alpha,-11.0,-35.0
I,13390,53.0,20.0,Cro,4.0,3,Beta,-19.0,-46.0
I,13391,36.0,50.0,Hsx,2.0,1,Alpha,25.0,-63.0
IA,13382,173.0,,,,,,19.0,74.0
IA,13383,163.0,,,,,,15.0,64.0
IA,13384,110.0,,,,,,-16.0,11.0
