ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13341,211.0,10.0,Axx,1.0,1,Alpha,-16.0,88.0
I,13354,167.0,1100.0,Fkc,17.0,26,Beta-Gamma-Delta,13.0,44.0
I,13355,119.0,10.0,Hrx,2.0,2,Alpha,-16.0,-3.0
I,13356,99.0,30.0,Cro,3.0,5,Beta,-8.0,-24.0
I,13357,91.0,20.0,Dro,2.0,5,Beta,-7.0,-32.0
I,13358,66.0,90.0,Dai,3.0,3,Beta,-12.0,-57.0
I,13359,61.0,30.0,Dri,5.0,7,Beta,-20.0,-61.0
IA,13348,184.0,,,,,,-33.0,61.0
IA,13349,196.0,,,,,,8.0,73.0
IA,13350,196.0,,,,,,-11.0,73.0
IA,13351,173.0,,,,,,21.0,50.0
