ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13293,152.0,10.0,Axx,1.0,1,Alpha,10.0,74.0
I,13294,125.0,130.0,Cso,5.0,6,Beta,-7.0,47.0
I,13296,141.0,260.0,Ekc,11.0,16,Beta-Gamma,15.0,63.0
I,13297,121.0,320.0,Eki,12.0,14,Beta-Gamma,10.0,43.0
I,13300,105.0,50.0,Dao,4.0,4,Beta,10.0,27.0
I,13301,38.0,120.0,Hsx,3.0,3,Alpha,12.0,-40.0
I,13302,33.0,80.0,Cso,5.0,6,Beta,18.0,-45.0
I,13303,51.0,10.0,Bxo,5.0,4,Beta,-10.0,-27.0
I,13304,57.0,10.0,Bxo,5.0,8,Beta,22.0,-21.0
IA,13298,142.0,,,,,,-16.0,64.0
IA,13299,105.0,,,,,,-8.0,27.0
