ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13214,208.0,320.0,Eho,11.0,6,Beta,13.0,89.0
I,13216,166.0,110.0,Hsx,2.0,1,Alpha,25.0,47.0
I,13217,139.0,250.0,Hhx,6.0,4,Alpha,-9.0,21.0
I,13219,146.0,5.0,Axx,1.0,1,Alpha,-6.0,27.0
I,13220,123.0,130.0,Hsx,3.0,2,Alpha,-14.0,4.0
I,13221,125.0,10.0,Bxo,7.0,3,Beta,19.0,6.0
I,13224,126.0,10.0,Bxo,4.0,4,Beta,22.0,7.0
I,13225,153.0,30.0,Cro,6.0,5,Beta,-20.0,34.0
I,13226,113.0,420.0,Dki,10.0,13,Beta-Delta,11.0,-6.0
I,13227,105.0,5.0,Axx,3.0,1,Alpha,-3.0,-14.0
IA,13215,186.0,,,,,,22.0,67.0
IA,13218,157.0,,,,,,11.0,38.0
IA,13223,146.0,,,,,,17.0,27.0
IA,13228,133.0,,,,,,-24.0,14.0
