ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13339,238.0,40.0,Hax,2.0,1,Alpha,-21.0,78.0
I,13340,235.0,220.0,Eai,11.0,14,Beta-Gamma,23.0,72.0
I,13341,210.0,30.0,Hax,2.0,1,Alpha,-15.0,47.0
I,13345,213.0,20.0,Hrx,1.0,1,Alpha,9.0,50.0
I,13348,182.0,10.0,Bxo,6.0,3,Beta,-33.0,19.0
I,13351,171.0,10.0,Bxo,2.0,2,Beta,21.0,8.0
I,13354,166.0,800.0,Ekc,11.0,38,Beta-Gamma-Delta,14.0,3.0
I,13355,121.0,30.0,Hsx,1.0,1,Alpha,-16.0,-42.0
IA,13346,238.0,,,,,,8.0,75.0
IA,13349,194.0,,,,,,8.0,31.0
IA,13350,194.0,,,,,,-11.0,31.0
IA,13353,231.0,,,,,,-18.0,68.0
