ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13245,195.0,140.0,Hsx,3.0,1,Alpha,-22.0,85.0
I,13247,163.0,10.0,Axx,1.0,1,Alpha,-23.0,53.0
I,13249,143.0,10.0,Axx,1.0,1,Alpha,-11.0,33.0
I,13250,147.0,10.0,Axx,3.0,3,Alpha,-19.0,37.0
I,13251,122.0,60.0,Hax,2.0,1,Alpha,-13.0,12.0
I,13252,119.0,10.0,Axx,1.0,1,Alpha,13.0,9.0
I,13254,153.0,30.0,Cro,5.0,5,Beta,-25.0,43.0
I,13255,86.0,10.0,Bxo,4.0,3,Beta,-5.0,-24.0
IA,13246,179.0,,,,,,24.0,69.0
IA,13253,154.0,,,,,,-29.0,44.0
