ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13337,264.0,10.0,Hrx,1.0,1,Alpha,15.0,75.0
I,13338,267.0,10.0,Axx,2.0,2,Alpha,9.0,78.0
I,13339,240.0,150.0,Cso,9.0,10,Beta,-23.0,51.0
I,13340,234.0,350.0,Eki,11.0,22,Beta-Gamma,20.0,45.0
I,13341,208.0,120.0,Cao,10.0,9,Beta,-15.0,19.0
I,13345,212.0,10.0,Hrx,1.0,1,Alpha,9.0,23.0
I,13347,253.0,10.0,Axx,1.0,1,Alpha,-19.0,64.0
I,13348,182.0,10.0,Bxo,4.0,2,Beta,-33.0,-7.0
I,13351,171.0,30.0,Cro,3.0,5,Beta,20.0,-18.0
I,13354,164.0,20.0,Cso,3.0,5,Beta,15.0,-24.0
IA,13346,236.0,,,,,,8.0,47.0
IA,13349,192.0,,,,,,8.0,3.0
IA,13350,192.0,,,,,,-11.0,3.0
IA,13352,276.0,,,,,,9.0,87.0
IA,13353,229.0,,,,,,-18.0,40.0
