ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,13358,67.0,10.0,Axx,1.0,1,Alpha,-13.0,50.0
I,13359,71.0,10.0,Bxo,10.0,6,Beta,-22.0,54.0
I,13360,63.0,30.0,Dri,4.0,6,Beta,23.0,46.0
I,13361,43.0,250.0,Ehi,11.0,13,Beta-Gamma-Delta,24.0,26.0
I,13362,11.0,50.0,Hsx,2.0,2,Alpha,-9.0,-6.0
I,13363,347.0,320.0,Hkx,6.0,2,Alpha,-21.0,-30.0
I,13364,2.0,10.0,Axx,1.0,1,Alpha,24.0,-15.0
I,13365,65.0,10.0,Axx,6.0,2,Alpha,-36.0,48.0
I,13366,55.0,120.0,Dsi,7.0,10,Beta,-10.0,38.0
I,13367,16.0,80.0,Dai,5.0,10,Beta,10.0,-1.0
I,13368,50.0,30.0,Dri,3.0,5,Beta,-19.0,33.0
I,13369,39.0,30.0,Dro,3.0,5,Beta,-18.0,23.0
IA,13357,95.0,,,,,,-7.0,78.0
