ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12994,106.0,30.0,Hax,1.0,1,Alpha,15.0,92.0
I,12995,80.0,130.0,Hsx,2.0,1,Alpha,14.0,66.0
I,12997,33.0,20.0,Bxo,10.0,7,Beta,12.0,19.0
I,12999,14.0,120.0,Cso,10.0,6,Beta,-21.0,0.0
I,13000,343.0,10.0,Hrx,2.0,2,Alpha,-17.0,-31.0
I,13001,339.0,120.0,Hax,2.0,1,Alpha,-32.0,-35.0
I,13003,324.0,20.0,Bxo,2.0,2,Beta,-23.0,-50.0
IA,12996,67.0,,,,,,25.0,53.0
IA,12998,85.0,,,,,,-19.0,71.0
IA,13002,3.0,,,,,,13.0,-11.0
