Date,Frequency
2014-01-01,2
2014-01-02,1
2014-01-07,1
2014-01-09,1
2014-01-12,1
2014-01-18,1
2014-01-19,2
2014-01-22,1
2014-01-23,1
2014-01-28,2
2014-02-05,1
2014-02-06,2
2014-02-09,1
2014-02-11,1
2014-02-18,2
2014-02-21,1
2014-02-22,1
2014-02-24,1
2014-02-25,1
2014-02-27,2
2014-03-06,1
2014-03-09,1
2014-03-11,1
2014-03-13,1
2014-03-15,1
2014-03-16,1
2014-03-18,1
2014-03-19,2
2014-03-20,1
2014-03-23,1
2014-03-29,1
2014-03-31,1
2014-04-01,1
2014-04-02,1
2014-04-03,1
2014-04-09,1
2014-04-10,1
2014-04-11,1
2014-04-12,1
2014-04-17,1
2014-04-20,1
2014-04-27,1
2014-04-28,2
2014-05-05,1
2014-05-06,1
2014-05-07,1
2014-05-08,1
2014-05-09,1
2014-05-12,1
2014-05-16,1
2014-05-20,1
2014-05-22,1
2014-05-24,1
2014-05-31,1
2014-06-02,1
2014-06-04,1
2014-06-11,1
2014-06-12,1
2014-06-13,1
2014-06-17,2
2014-06-23,2
2014-06-29,2
2014-06-30,2
2014-07-02,1
2014-07-03,1
2014-07-05,1
2014-07-07,1
2014-07-09,1
2014-07-23,1
2014-07-27,2
2014-07-28,2
2014-07-30,2
2014-08-01,1
2014-08-03,2
2014-08-07,1
2014-08-12,1
2014-08-15,2
2014-08-17,1
2014-08-18,1
2014-08-22,1
2014-08-23,1
2014-08-24,1
2014-08-29,1
2014-09-05,4
2014-09-06,1
2014-09-08,1
2014-09-12,1
2014-09-13,1
2014-09-18,2
2014-09-20,1
2014-09-21,2
2014-09-26,1
2014-09-28,1
2014-09-29,1
2014-10-04,1
2014-10-08,1
2014-10-12,1
2014-10-18,1
2014-10-22,1
2014-10-23,1
2014-10-25,2
2014-10-31,1
2014-11-05,1
2014-11-09,1
2014-11-10,1
2014-11-13,1
2014-11-17,1
2014-11-21,1
2014-11-24,1
2014-11-25,1
2014-11-27,2
2014-12-01,1
2014-12-03,1
2014-12-07,1
2014-12-08,1
2014-12-11,1
2014-12-12,1
2014-12-13,1
2014-12-15,2
2014-12-22,2
2014-12-24,2
2014-12-28,2
2014-12-31,1
