InicioSemana,Strength,Number of AR detected,Fecha
2013-12-30,0.09264176782999636,0.42857142857142855,2013-12-30
2014-01-06,0.11119591159240688,0.42857142857142855,2014-01-06
2014-01-13,0.32738504703463317,0.42857142857142855,2014-01-13
2014-01-20,0.08322411823884462,0.2857142857142857,2014-01-20
2014-01-27,0.3780474231208448,0.2857142857142857,2014-01-27
2014-02-03,0.0,0.5714285714285714,2014-02-03
2014-02-10,0.13077776053337353,0.14285714285714285,2014-02-10
2014-02-17,0.08303597664207414,0.5714285714285714,2014-02-17
2014-02-24,0.10865367469042728,0.5714285714285714,2014-02-24
2014-03-03,0.30925299330280015,0.2857142857142857,2014-03-03
2014-03-10,0.187957381081832,0.5714285714285714,2014-03-10
2014-03-17,0.21104944459253625,0.7142857142857142,2014-03-17
2014-03-24,0.14522915608493983,0.14285714285714285,2014-03-24
2014-03-31,0.23450173976666988,0.5714285714285714,2014-03-31
2014-04-07,0.18039306211568903,0.5714285714285714,2014-04-07
2014-04-14,0.1515083441280382,0.2857142857142857,2014-04-14
2014-04-21,0.10074590804462026,0.14285714285714285,2014-04-21
2014-04-28,0.0,0.2857142857142857,2014-04-28
2014-05-05,0.4733061697905316,0.7142857142857142,2014-05-05
2014-05-12,0.10745474764988369,0.2857142857142857,2014-05-12
2014-05-19,0.24793104924507245,0.42857142857142855,2014-05-19
2014-05-26,0.04244812655226193,0.14285714285714285,2014-05-26
2014-06-02,0.3497657981489567,0.2857142857142857,2014-06-02
2014-06-09,0.16009039240587616,0.42857142857142855,2014-06-09
2014-06-16,0.26725308643696205,0.2857142857142857,2014-06-16
2014-06-23,0.06834613444029784,0.5714285714285714,2014-06-23
2014-06-30,0.7092500308495522,0.7142857142857142,2014-06-30
2014-07-07,0.27177317527740286,0.2857142857142857,2014-07-07
2014-07-14,0.16460776439384694,0.0,2014-07-14
2014-07-21,0.33041680898895404,0.42857142857142855,2014-07-21
2014-07-28,0.5947006689406474,1.0,2014-07-28
2014-08-04,0.0,0.14285714285714285,2014-08-04
2014-08-11,0.15562557849635467,0.5714285714285714,2014-08-11
2014-08-18,0.289456740995073,0.5714285714285714,2014-08-18
2014-08-25,0.22514810870355673,0.14285714285714285,2014-08-25
2014-09-01,0.18417313510213792,0.7142857142857142,2014-09-01
2014-09-08,0.30112349456401516,0.42857142857142855,2014-09-08
2014-09-15,0.36291774134342375,0.7142857142857142,2014-09-15
2014-09-22,0.3883639855208448,0.2857142857142857,2014-09-22
2014-09-29,0.3631337006073367,0.2857142857142857,2014-09-29
2014-10-06,0.48058701572338974,0.2857142857142857,2014-10-06
2014-10-13,1.0,0.14285714285714285,2014-10-13
2014-10-20,0.6642868522499907,0.5714285714285714,2014-10-20
2014-10-27,0.22058397269539667,0.14285714285714285,2014-10-27
2014-11-03,0.8664692123222585,0.2857142857142857,2014-11-03
2014-11-10,0.8687830821688963,0.2857142857142857,2014-11-10
2014-11-17,0.456170399757262,0.2857142857142857,2014-11-17
2014-11-24,0.9876413441457815,0.5714285714285714,2014-11-24
2014-12-01,0.5301122728216359,0.42857142857142855,2014-12-01
2014-12-08,0.928551871503234,0.5714285714285714,2014-12-08
2014-12-15,0.6256519572224156,0.2857142857142857,2014-12-15
2014-12-22,0.893988167273963,0.8571428571428571,2014-12-22
2014-12-29,0.11689089430813362,0.14285714285714285,2014-12-29
