InicioSemana,Strength,Number of AR detected,dB
2013-12-30,730.4,3.0,764.8506598054544
2014-01-06,876.6833333333334,3.0,423.32293831449374
2014-01-13,2581.1471861471864,3.0,777.7822893168947
2014-01-20,656.15,2.0,382.8733112457531
2014-01-27,2980.576086956521,2.0,1152.628669755409
2014-02-03,0.0,4.0,0.0
2014-02-10,1031.069230769231,1.0,318.2129797003453
2014-02-17,654.6666666666666,4.0,415.8389309377278
2014-02-24,856.64,4.0,343.826523611981
2014-03-03,2438.1916666666666,2.0,728.8291267875009
2014-03-10,1481.8809523809523,4.0,464.9692828035262
2014-03-17,1663.9418476260582,5.0,464.42146217933174
2014-03-24,1145.0059523809523,1.0,365.1461924872203
2014-03-31,1848.842857142857,4.0,503.2734494843639
2014-04-07,1422.2428571428572,4.0,486.8258286424582
2014-04-14,1194.5119047619048,2.0,413.3427109204394
2014-04-21,794.2941176470588,1.0,359.18600405589694
2014-04-28,0.0,2.0,0.0
2014-05-05,3731.608695652174,5.0,1018.9066280135464
2014-05-12,847.1875,2.0,444.9589468573614
2014-05-19,1954.721316425121,3.0,568.0047347281711
2014-05-26,334.6666666666667,1.0,183.76692073954595
2014-06-02,2757.6,2.0,1228.2494977136143
2014-06-09,1262.1739130434785,3.0,511.7408100289937
2014-06-16,2107.0588235294117,2.0,716.81430771954
2014-06-23,538.85,4.0,563.1807169137243
2014-06-30,5591.821428571428,5.0,1862.1029119688726
2014-07-07,2142.695804195804,2.0,699.4495665629707
2014-07-14,1297.7894736842106,0.0,618.3296709072731
2014-07-21,2605.05,3.0,834.7676065257458
2014-07-28,4688.699047619048,7.0,1455.2822546611287
2014-08-04,0.0,1.0,0.0
2014-08-11,1226.9727272727273,4.0,571.2967868229512
2014-08-18,2282.1153846153848,4.0,913.2207425957852
2014-08-25,1775.0975877192982,1.0,519.417153550633
2014-09-01,1452.0454545454545,5.0,629.4365954632837
2014-09-08,2374.097619047619,3.0,747.2255880746359
2014-09-15,2861.291666666667,5.0,916.233311928022
2014-09-22,3061.913234913235,2.0,824.4442032259913
2014-09-29,2862.994318181818,2.0,1022.5350111503388
2014-10-06,3789.011851851852,2.0,1043.1858122066426
2014-10-13,7884.132795698925,1.0,2720.8093826504237
2014-10-20,5237.325757575758,4.0,1488.5481713299473
2014-10-27,1739.1133333333332,1.0,749.6691187373391
2014-11-03,6831.358333333334,2.0,1908.8468993467884
2014-11-10,6849.60119047619,2.0,2150.7285162053095
2014-11-17,3596.508009153318,2.0,1207.2804916976124
2014-11-24,7786.695511767925,4.0,2014.303205767269
2014-12-01,4179.475555555556,3.0,1083.2916558010518
2014-12-08,7320.826262626262,4.0,2391.3839072933024
2014-12-15,4932.7231146304675,2.0,1448.792532322642
2014-12-22,7048.321428571428,6.0,1774.1208613572517
2014-12-29,921.5833333333333,1.0,626.9192045940838
