Lag,Correlación,Error
-13,-0.3748710464460464,0.8049267339387632
-12,0.21310774770608773,0.45758701549332814
-11,0.12930375365984256,0.2776422695381978
-10,-0.10573887184501131,0.22704352755828053
-9,0.06289406577289805,0.13504674587877208
-8,-0.019496086836911262,0.04186218607971398
-7,0.21405526556563095,0.459621534998799
-6,-0.16903433920346023,0.36295216680096637
-5,-0.03469451292819314,0.07449639347088398
-4,0.05020132909722379,0.10779277901748852
-3,0.052099404961111914,0.11186834585673054
-2,0.04655081890798069,0.09995436825812212
-1,-0.38552422400781056,0.8278013397589669
0,0.33983813088916665,0.7297037190730095
1,-0.06070751871675668,0.13035177090754124
2,-0.05808808450785691,0.12472729645819054
3,-0.07016847283771126,0.15066642303317698
4,0.1932895246539003,0.41503313541882886
5,-0.20886681352110528,0.4484808406240496
6,0.020225354654997973,0.043428076986852034
7,0.1105068222385562,0.23728131672402905
8,-0.1201450127822509,0.25797653260950615
9,0.02380120992394197,0.05110618797983602
10,0.0720173499778389,0.15463634989727038
11,-0.17014691689324185,0.36534110436917616
12,0.1809209919664917,0.3884753024944779
13,-0.021091418840820244,0.04528769837688537
