Combined Name,Mean Strength,Prediction Date,dB0
FS-2013-058_2014-01,730.4,2014-01-03.1,764.8506598054544
FS-2013-059_2014-01,623.5833333333334,2014-01-08.8,394.3508010672478
FS-2014-001_2014-01,253.1,2014-01-06.1,153.91476797512524
FS-2014-002_2014-01,1493.909090909091,2014-01-16.1,611.0198133481755
FS-2014-003_2014-01,1087.2380952380952,2014-01-18.2,481.2484569024512
FS-2014-004_2014-01,328.4,2014-01-21.0,192.76563663787866
FS-2014-005_2014-01,2836.8260869565215,2014-01-28.4,1131.3284629638397
FS-2014-006_2014-01,143.75,2014-01-27.6,220.56463730616363
FS-2014-007_2014-01,327.75,2014-01-20.1,330.8071670866287
FS-2014-008_2014-02,505.1,2014-02-10.3,215.84375522137998
FS-2014-009_2014-02,288.2,2014-02-11.5,180.97940540755798
FS-2014-010_2014-02,237.76923076923077,2014-02-14.9,148.045359940905
FS-2014-011_2014-02,328.42857142857144,2014-02-15.2,162.55276838064557
FS-2014-012_2014-02,335.5,2014-02-10.4,472.3437915562213
FS-2014-013_2014-02,856.64,2014-02-24.4,343.826523611981
FS-2014-014_2014-02,1426.304347826087,2014-02-24.2,562.9302821574097
FS-2014-015_2014-02,654.6666666666666,2014-02-19.3,415.8389309377278
FS-2014-016_2014-02,1218.2916666666667,2014-03-05.1,462.22094372050725
FS-2014-017_2014-02,1219.9,2014-03-09.1,563.5101554009073
FS-2014-018_2014-02,153.0,2014-03-08.8,219.47035154676544
FS-2014-019_2014-03,795.5,2014-03-13.1,351.5240860149846
FS-2014-020_2014-03,686.3809523809524,2014-03-15.1,304.3472538107667
FS-2014-021_2014-03,562.7272727272727,2014-03-18.2,236.19419692299843
FS-2014-022_2014-03,682.3684210526316,2014-03-22.7,336.51246347012074
FS-2014-023_2014-03,418.84615384615387,2014-03-20.0,216.006846655283
FS-2014-024_2014-03,672.3809523809524,2014-03-25.3,291.5569431866596
FS-2014-025_2014-03,472.625,2014-03-28.1,219.8324151884
FS-2014-026_2014-03,977.4761904761905,2014-03-30.7,395.6281001256236
FS-2014-027_2014-03,304.7,2014-04-01.0,190.77672228482635
FS-2014-028_2014-03,566.6666666666666,2014-04-04.2,245.69658846052047
FS-2014-029_2014-03,450.14285714285717,2014-04-09.8,241.83548702627763
FS-2014-030_2014-04,972.1,2014-04-12.3,422.5103367353031
FS-2014-031_2014-04,827.7619047619048,2014-04-15.1,336.71850080973337
FS-2014-032_2014-04,320.29411764705884,2014-04-22.3,174.6025751758736
FS-2014-033_2014-04,366.75,2014-04-19.3,239.73495340376112
FS-2014-034_2014-04,474.0,2014-04-25.2,313.8925393372646
FS-2014-035_2014-04,1622.6,2014-05-06.4,704.8218642077536
FS-2014-036_2014-04,1514.608695652174,2014-05-08.9,631.6699167369716
FS-2014-037_2014-05,594.4,2014-05-11.0,377.3459588151833
