strength,date,Unnamed: 2,filename
594,2021-02.5,2021-02,AR_LIST_2021.01.13_12:00:00.txt
378,2021-03,2021-02.5,AR_LIST_2021.01.14_00:00:00.txt
443,2021-02.5,2021-02.5,AR_LIST_2021.01.14_12:00:00.txt
100,2021-03,2021-02.5,AR_LIST_2021.01.15_00:00:00.txt
52,2021-03,2021-02.5,AR_LIST_2021.01.15_12:00:00.txt
421,2021-20,2021-19,AR_LIST_2021.05.10_00:00:00.txt
584,2021-20,2021-19,AR_LIST_2021.05.10_12:00:00.txt
617,2021-20,2021-19,AR_LIST_2021.05.11_00:00:00.txt
969,2021-20,2021-19,AR_LIST_2021.05.11_12:00:00.txt
998,2021-20,2021-19,AR_LIST_2021.05.12_00:00:00.txt
1058,2021-20,2021-19,AR_LIST_2021.05.12_12:00:00.txt
998,2021-20,2021-19.5,AR_LIST_2021.05.13_00:00:00.txt
1019,2021-20,2021-19.5,AR_LIST_2021.05.13_12:00:00.txt
911,2021-20,2021-19.5,AR_LIST_2021.05.14_00:00:00.txt
855,2021-20,2021-19.5,AR_LIST_2021.05.14_12:00:00.txt
666,2021-20,2021-19.5,AR_LIST_2021.05.15_00:00:00.txt
562,2021-20,2021-19.5,AR_LIST_2021.05.15_12:00:00.txt
444,2021-20,2021-20,AR_LIST_2021.05.16_00:00:00.txt
325,2021-20,2021-20,AR_LIST_2021.05.16_12:00:00.txt
290,2021-20,2021-20,AR_LIST_2021.05.17_00:00:00.txt
54,2021-20,2021-20,AR_LIST_2021.05.17_12:00:00.txt
507,2021-25,2021-24,AR_LIST_2021.06.13_00:00:00.txt
898,2021-25,2021-24,AR_LIST_2021.06.13_12:00:00.txt
1108,2021-25,2021-24,AR_LIST_2021.06.14_00:00:00.txt
1310,2021-25,2021-24,AR_LIST_2021.06.14_12:00:00.txt
1213,2021-25,2021-24,AR_LIST_2021.06.15_00:00:00.txt
1365,2021-25,2021-24,AR_LIST_2021.06.15_12:00:00.txt
965,2021-25,2021-24,AR_LIST_2021.06.16_00:00:00.txt
1249,2021-25,2021-24,AR_LIST_2021.06.16_12:00:00.txt
785,2021-25,2021-24.5,AR_LIST_2021.06.17_00:00:00.txt
1060,2021-25,2021-24.5,AR_LIST_2021.06.17_12:00:00.txt
677,2021-25,2021-24.5,AR_LIST_2021.06.18_00:00:00.txt
808,2021-25,2021-24.5,AR_LIST_2021.06.18_12:00:00.txt
494,2021-25,2021-24.5,AR_LIST_2021.06.19_00:00:00.txt
575,2021-25,2021-24.5,AR_LIST_2021.06.19_12:00:00.txt
381,2021-25,2021-25,AR_LIST_2021.06.20_00:00:00.txt
394,2021-25,2021-25,AR_LIST_2021.06.20_12:00:00.txt
280,2021-25,2021-25,AR_LIST_2021.06.21_00:00:00.txt
230,2021-25,2021-25,AR_LIST_2021.06.21_12:00:00.txt
37,2021-25,2021-25,AR_LIST_2021.06.22_00:00:00.txt
430,2021-29,2021-28,AR_LIST_2021.07.14_00:00:00.txt
570,2021-29,2021-28,AR_LIST_2021.07.14_12:00:00.txt
547,2021-29,2021-28.5,AR_LIST_2021.07.15_00:00:00.txt
656,2021-29,2021-28.5,AR_LIST_2021.07.15_12:00:00.txt
514,2021-29,2021-28.5,AR_LIST_2021.07.16_00:00:00.txt
575,2021-29,2021-28.5,AR_LIST_2021.07.16_12:00:00.txt
429,2021-29,2021-28.5,AR_LIST_2021.07.17_00:00:00.txt
425,2021-29,2021-28.5,AR_LIST_2021.07.17_12:00:00.txt
301,2021-29,2021-29,AR_LIST_2021.07.18_00:00:00.txt
315,2021-29,2021-29,AR_LIST_2021.07.18_12:00:00.txt
186,2021-29,2021-29,AR_LIST_2021.07.19_00:00:00.txt
159,2021-29,2021-29,AR_LIST_2021.07.19_12:00:00.txt
39,2021-29,2021-29,AR_LIST_2021.07.20_00:00:00.txt
13,2021-29,2021-29,AR_LIST_2021.07.20_12:00:00.txt
416,2021-37.5,2021-37,AR_LIST_2021.09.12_00:00:00.txt
