ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12908,302.0,50.0,Hax,2.0,1,Alpha,-20.0,80.0
I,12912,236.0,20.0,Hrx,1.0,1,Alpha,-13.0,14.0
I,12915,238.0,10.0,Axx,1.0,1,Alpha,16.0,16.0
I,12916,194.0,450.0,Ekc,11.0,21,Beta-Gamma-Delta,-18.0,-28.0
I,12917,228.0,20.0,Cro,7.0,5,Beta,-28.0,6.0
I,12918,211.0,280.0,Dki,9.0,17,Beta,19.0,-11.0
I,12919,163.0,20.0,Hsx,1.0,1,Alpha,-11.0,-59.0
IA,12909,289.0,,,,,,-21.0,67.0
IA,12911,275.0,,,,,,20.0,53.0
IA,12913,259.0,,,,,,-25.0,37.0
IA,12914,255.0,,,,,,-17.0,33.0
