ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12032,275.0,110.0,Hax,2.0,1,Alpha,12.0,70.0
I,12033,263.0,80.0,Hsx,2.0,2,Alpha,12.0,58.0
I,12034,244.0,480.0,Ekc,11.0,27,Beta,4.0,39.0
I,12035,223.0,340.0,Ekc,13.0,45,Beta-Gamma-Delta,-15.0,18.0
I,12036,246.0,390.0,Dhc,10.0,47,Beta-Gamma,-16.0,41.0
I,12037,245.0,100.0,Dai,7.0,15,Beta-Gamma,-9.0,40.0
I,12038,182.0,90.0,Dac,6.0,8,Beta,-13.0,-23.0
I,12039,235.0,10.0,Bxo,5.0,3,Beta,23.0,30.0
I,12040,221.0,10.0,Bxo,4.0,3,Beta,16.0,15.0
I,12042,164.0,230.0,Dao,9.0,12,Beta,18.0,-41.0
IA,12041,263.0,,,,,,-19.0,57.0
IA,12043,237.0,,,,,,-11.0,31.0
