ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12096,358.0,70.0,Cao,4.0,5,Beta,9.0,24.0
I,12097,351.0,30.0,Hsx,1.0,1,Alpha,13.0,17.0
I,12100,309.0,10.0,Bxo,8.0,5,Beta,11.0,-25.0
I,12102,283.0,10.0,Axx,1.0,1,Alpha,11.0,-51.0
I,12104,270.0,260.0,Dki,7.0,7,Beta,-10.0,-64.0
I,12105,310.0,10.0,Cro,3.0,3,Beta,-7.0,-24.0
I,12106,261.0,20.0,Cro,3.0,4,Beta,15.0,-73.0
I,12107,259.0,250.0,Dhi,7.0,6,Beta,-20.0,-75.0
IA,12098,23.0,,,,,,-9.0,49.0
IA,12099,7.0,,,,,,-16.0,33.0
IA,12101,19.0,,,,,,-7.0,45.0
IA,12103,296.0,,,,,,-10.0,-38.0
