ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12061,189.0,80.0,Hsx,2.0,1,Alpha,-24.0,60.0
I,12065,144.0,10.0,Axx,3.0,3,Alpha,-18.0,14.0
I,12066,194.0,40.0,Dao,6.0,3,Beta,-17.0,65.0
I,12069,117.0,20.0,Cso,1.0,5,Beta,-17.0,-12.0
I,12071,80.0,150.0,Dac,7.0,10,Beta,-12.0,-48.0
I,12072,134.0,20.0,Csi,4.0,7,Beta,-18.0,5.0
I,12073,66.0,50.0,Hsx,1.0,1,Alpha,-11.0,-62.0
IA,12063,182.0,,,,,,9.0,53.0
IA,12064,198.0,,,,,,9.0,68.0
IA,12068,160.0,,,,,,-15.0,30.0
IA,12070,220.0,,,,,,-18.0,90.0
