ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11981,220.0,40.0,Eao,13.0,7,Beta,-7.0,74.0
I,11982,209.0,170.0,Eac,14.0,32,Beta-Gamma,-10.0,63.0
I,11984,220.0,80.0,Dao,7.0,9,Beta,-16.0,74.0
I,11986,176.0,30.0,Cro,5.0,11,Beta,13.0,30.0
I,11987,150.0,180.0,Dsi,10.0,16,Beta-Gamma,-3.0,4.0
I,11988,183.0,60.0,Dao,5.0,10,Beta,-10.0,37.0
I,11989,132.0,20.0,Hrx,3.0,3,Alpha,9.0,-14.0
I,11990,108.0,250.0,Dkc,6.0,7,Beta-Delta,-14.0,-38.0
I,11991,94.0,280.0,Dko,9.0,11,Beta,-25.0,-52.0
I,11992,139.0,30.0,Dao,4.0,4,Beta,-20.0,-7.0
I,11993,101.0,30.0,Cro,6.0,7,Beta,16.0,-45.0
IA,11983,233.0,,,,,,-13.0,87.0
