ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,11982,205.0,50.0,Cao,5.0,3,Beta,-11.0,86.0
I,11987,148.0,160.0,Esi,11.0,16,Beta,-2.0,29.0
I,11988,183.0,120.0,Dao,10.0,7,Beta,-10.0,64.0
I,11989,132.0,10.0,Bxo,6.0,7,Beta,7.0,13.0
I,11990,108.0,210.0,Dac,6.0,9,Beta-Delta,-14.0,-11.0
I,11991,93.0,290.0,Eko,11.0,10,Beta-Gamma,-25.0,-26.0
I,11992,138.0,20.0,Hsx,2.0,1,Alpha,-19.0,19.0
I,11993,103.0,110.0,Dai,8.0,13,Beta,16.0,-16.0
I,11994,150.0,30.0,Hax,3.0,3,Alpha,-7.0,31.0
I,11995,113.0,60.0,Cao,8.0,8,Beta,-17.0,-6.0
IA,11986,174.0,,,,,,14.0,55.0
