ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12104,269.0,130.0,Dso,5.0,5,Beta,-12.0,67.0
I,12106,264.0,120.0,Cao,4.0,3,Beta,14.0,62.0
I,12107,255.0,220.0,Hsx,4.0,2,Alpha,-20.0,53.0
I,12108,241.0,830.0,Ekc,12.0,22,Beta-Gamma-Delta,-7.0,39.0
I,12109,219.0,620.0,Eki,11.0,27,Beta-Delta,-8.0,17.0
I,12111,203.0,70.0,Dso,4.0,5,Beta,6.0,2.0
I,12113,167.0,60.0,Dai,8.0,17,Beta-Gamma,9.0,-35.0
I,12114,150.0,140.0,Dai,4.0,6,Beta,-20.0,-52.0
I,12115,255.0,40.0,Dao,5.0,6,Beta,8.0,53.0
IA,12102,281.0,,,,,,11.0,79.0
IA,12110,235.0,,,,,,-15.0,33.0
