ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12152,211.0,120.0,Cao,5.0,2,Beta,-15.0,83.0
I,12155,109.0,120.0,Cao,3.0,6,Beta,-20.0,-19.0
I,12157,97.0,420.0,Ekc,14.0,27,Beta-Gamma-Delta,-14.0,-31.0
I,12158,88.0,380.0,Dkc,7.0,10,Beta-Delta,16.0,-40.0
I,12159,79.0,20.0,Cro,5.0,5,Beta,-20.0,-49.0
I,12160,196.0,70.0,Dao,6.0,5,Beta,-10.0,68.0
I,12161,150.0,20.0,Dao,4.0,3,Beta,-15.0,22.0
I,12162,148.0,10.0,Hrx,1.0,1,Alpha,8.0,20.0
I,12163,63.0,50.0,Cao,7.0,5,Beta,-16.0,-65.0
IA,12154,158.0,,,,,,-16.0,30.0
IA,12156,114.0,,,,,,15.0,-14.0
