ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12152,207.0,180.0,Eao,12.0,15,Beta-Gamma,-15.0,65.0
I,12153,234.0,140.0,Dso,9.0,2,Beta,-9.0,92.0
I,12154,161.0,10.0,Bxo,5.0,3,Beta,-18.0,19.0
I,12155,109.0,120.0,Dao,3.0,5,Beta,-20.0,-33.0
I,12157,98.0,540.0,Ekc,12.0,17,Beta-Gamma-Delta,-14.0,-44.0
I,12158,88.0,310.0,Dkc,5.0,7,Beta-Delta,15.0,-54.0
I,12159,82.0,30.0,Cro,2.0,5,Beta,-20.0,-60.0
I,12160,197.0,10.0,Cro,1.0,5,Beta,-9.0,55.0
I,12161,149.0,30.0,Dao,2.0,8,Beta,-16.0,7.0
I,12162,146.0,10.0,Cao,4.0,3,Beta,8.0,4.0
IA,12156,114.0,,,,,,15.0,-28.0
