ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12100,309.0,20.0,Cro,3.0,4,Beta,10.0,54.0
I,12102,279.0,30.0,Cao,5.0,7,Beta,11.0,24.0
I,12104,269.0,390.0,Dkc,7.0,21,Beta-Gamma,-12.0,14.0
I,12106,261.0,120.0,Dao,6.0,5,Beta,15.0,6.0
I,12107,258.0,260.0,Ehi,11.0,14,Beta-Gamma,-21.0,3.0
I,12108,239.0,350.0,Dki,9.0,27,Beta-Gamma,-8.0,-16.0
I,12109,219.0,830.0,Ekc,13.0,23,Beta-Gamma,-8.0,-36.0
I,12110,233.0,10.0,Dro,6.0,6,Beta,-16.0,-22.0
I,12111,201.0,70.0,Dao,9.0,4,Beta,6.0,-54.0
I,12112,297.0,10.0,Bxo,3.0,2,Beta,-19.0,42.0
IA,12103,301.0,,,,,,-10.0,46.0
IA,12105,312.0,,,,,,-5.0,57.0
