strength,date,,filename
421,2011-02-24.0,2011-02-15.5,AR_LIST_2011.02.15_12:00:00.txt
456,2011-02-24.5,2011-02-16.0,AR_LIST_2011.02.16_00:00:00.txt
478,2011-02-24.0,2011-02-16.5,AR_LIST_2011.02.16_12:00:00.txt
399,2011-02-24.6,2011-02-17.0,AR_LIST_2011.02.17_00:00:00.txt
347,2011-02-24.1,2011-02-17.5,AR_LIST_2011.02.17_12:00:00.txt
248,2011-02-24.5,2011-02-18.0,AR_LIST_2011.02.18_00:00:00.txt
552,2011-02-24.4,2011-02-18.5,AR_LIST_2011.02.18_12:00:00.txt
546,2011-02-25.0,2011-02-19.0,AR_LIST_2011.02.19_00:00:00.txt
686,2011-02-24.4,2011-02-19.5,AR_LIST_2011.02.19_12:00:00.txt
789,2011-02-25.0,2011-02-20.0,AR_LIST_2011.02.20_00:00:00.txt
759,2011-02-24.5,2011-02-20.5,AR_LIST_2011.02.20_12:00:00.txt
665,2011-02-25.1,2011-02-21.0,AR_LIST_2011.02.21_00:00:00.txt
643,2011-02-24.5,2011-02-21.5,AR_LIST_2011.02.21_12:00:00.txt
652,2011-02-25.1,2011-02-22.0,AR_LIST_2011.02.22_00:00:00.txt
629,2011-02-24.6,2011-02-22.5,AR_LIST_2011.02.22_12:00:00.txt
585,2011-02-25.2,2011-02-23.0,AR_LIST_2011.02.23_00:00:00.txt
545,2011-02-24.6,2011-02-23.5,AR_LIST_2011.02.23_12:00:00.txt
513,2011-02-25.1,2011-02-24.0,AR_LIST_2011.02.24_00:00:00.txt
485,2011-02-24.6,2011-02-24.5,AR_LIST_2011.02.24_12:00:00.txt
270,2011-02-25.3,2011-02-25.0,AR_LIST_2011.02.25_00:00:00.txt
12,2011-02-25.0,2011-02-25.5,AR_LIST_2011.02.25_12:00:00.txt
404,2011-03-06.0,2011-02-25.5,AR_LIST_2011.02.25_12:00:00.txt
307,2011-03-06.5,2011-02-26.0,AR_LIST_2011.02.26_00:00:00.txt
411,2011-03-06.0,2011-02-26.5,AR_LIST_2011.02.26_12:00:00.txt
270,2011-03-06.5,2011-02-27.0,AR_LIST_2011.02.27_00:00:00.txt
325,2011-03-06.0,2011-02-27.5,AR_LIST_2011.02.27_12:00:00.txt
213,2011-03-06.6,2011-02-28.0,AR_LIST_2011.02.28_00:00:00.txt
263,2011-03-06.0,2011-02-28.5,AR_LIST_2011.02.28_12:00:00.txt
189,2011-03-06.5,2011-03-01.0,AR_LIST_2011.03.01_00:00:00.txt
230,2011-03-05.9,2011-03-01.5,AR_LIST_2011.03.01_12:00:00.txt
186,2011-03-06.4,2011-03-02.0,AR_LIST_2011.03.02_00:00:00.txt
193,2011-03-05.9,2011-03-02.5,AR_LIST_2011.03.02_12:00:00.txt
166,2011-03-06.5,2011-03-03.0,AR_LIST_2011.03.03_00:00:00.txt
153,2011-03-05.9,2011-03-03.5,AR_LIST_2011.03.03_12:00:00.txt
92,2011-03-06.6,2011-03-04.0,AR_LIST_2011.03.04_00:00:00.txt
66,2011-03-05.9,2011-03-04.5,AR_LIST_2011.03.04_12:00:00.txt
28,2011-03-06.6,2011-03-05.0,AR_LIST_2011.03.05_00:00:00.txt
31,2011-03-05.9,2011-03-05.5,AR_LIST_2011.03.05_12:00:00.txt
18,2011-03-06.4,2011-03-06.0,AR_LIST_2011.03.06_00:00:00.txt
745,2011-03-22.2,2011-03-12.0,AR_LIST_2011.03.12_00:00:00.txt
939,2011-03-21.7,2011-03-12.5,AR_LIST_2011.03.12_12:00:00.txt
1247,2011-03-22.2,2011-03-13.0,AR_LIST_2011.03.13_00:00:00.txt
1245,2011-03-21.7,2011-03-13.5,AR_LIST_2011.03.13_12:00:00.txt
668,2011-03-24.1,2011-03-13.5,AR_LIST_2011.03.13_12:00:00.txt
1289,2011-03-22.2,2011-03-14.0,AR_LIST_2011.03.14_00:00:00.txt
630,2011-03-24.6,2011-03-14.0,AR_LIST_2011.03.14_00:00:00.txt
1149,2011-03-21.7,2011-03-14.5,AR_LIST_2011.03.14_12:00:00.txt
878,2011-03-24.1,2011-03-14.5,AR_LIST_2011.03.14_12:00:00.txt
1134,2011-03-22.2,2011-03-15.0,AR_LIST_2011.03.15_00:00:00.txt
775,2011-03-24.7,2011-03-15.0,AR_LIST_2011.03.15_00:00:00.txt
1060,2011-03-21.7,2011-03-15.5,AR_LIST_2011.03.15_12:00:00.txt
959,2011-03-24.2,2011-03-15.5,AR_LIST_2011.03.15_12:00:00.txt
939,2011-03-22.1,2011-03-16.0,AR_LIST_2011.03.16_00:00:00.txt
824,2011-03-24.8,2011-03-16.0,AR_LIST_2011.03.16_00:00:00.txt
974,2011-03-21.6,2011-03-16.5,AR_LIST_2011.03.16_12:00:00.txt
895,2011-03-24.3,2011-03-16.5,AR_LIST_2011.03.16_12:00:00.txt
827,2011-03-22.1,2011-03-17.0,AR_LIST_2011.03.17_00:00:00.txt
744,2011-03-24.8,2011-03-17.0,AR_LIST_2011.03.17_00:00:00.txt
815,2011-03-21.5,2011-03-17.5,AR_LIST_2011.03.17_12:00:00.txt
748,2011-03-24.4,2011-03-17.5,AR_LIST_2011.03.17_12:00:00.txt
713,2011-03-22.0,2011-03-18.0,AR_LIST_2011.03.18_00:00:00.txt
606,2011-03-24.9,2011-03-18.0,AR_LIST_2011.03.18_00:00:00.txt
794,2011-03-21.5,2011-03-18.5,AR_LIST_2011.03.18_12:00:00.txt
540,2011-03-24.4,2011-03-18.5,AR_LIST_2011.03.18_12:00:00.txt
778,2011-03-22.0,2011-03-19.0,AR_LIST_2011.03.19_00:00:00.txt
531,2011-03-24.8,2011-03-19.0,AR_LIST_2011.03.19_00:00:00.txt
952,2011-03-21.5,2011-03-19.5,AR_LIST_2011.03.19_12:00:00.txt
572,2011-03-24.3,2011-03-19.5,AR_LIST_2011.03.19_12:00:00.txt
937,2011-03-22.0,2011-03-20.0,AR_LIST_2011.03.20_00:00:00.txt
613,2011-03-24.8,2011-03-20.0,AR_LIST_2011.03.20_00:00:00.txt
1003,2011-03-21.5,2011-03-20.5,AR_LIST_2011.03.20_12:00:00.txt
487,2011-03-24.3,2011-03-20.5,AR_LIST_2011.03.20_12:00:00.txt
411,2011-03-29.1,2011-03-20.5,AR_LIST_2011.03.20_12:00:00.txt
1010,2011-03-22.0,2011-03-21.0,AR_LIST_2011.03.21_00:00:00.txt
486,2011-03-24.7,2011-03-21.0,AR_LIST_2011.03.21_00:00:00.txt
557,2011-03-29.6,2011-03-21.0,AR_LIST_2011.03.21_00:00:00.txt
935,2011-03-21.5,2011-03-21.5,AR_LIST_2011.03.21_12:00:00.txt
225,2011-03-24.4,2011-03-21.5,AR_LIST_2011.03.21_12:00:00.txt
566,2011-03-29.0,2011-03-21.5,AR_LIST_2011.03.21_12:00:00.txt
423,2011-03-22.3,2011-03-22.0,AR_LIST_2011.03.22_00:00:00.txt
218,2011-03-24.8,2011-03-22.0,AR_LIST_2011.03.22_00:00:00.txt
671,2011-03-29.5,2011-03-22.0,AR_LIST_2011.03.22_00:00:00.txt
61,2011-03-22.1,2011-03-22.5,AR_LIST_2011.03.22_12:00:00.txt
29,2011-03-24.4,2011-03-22.5,AR_LIST_2011.03.22_12:00:00.txt
484,2011-03-29.0,2011-03-22.5,AR_LIST_2011.03.22_12:00:00.txt
42,2011-03-24.9,2011-03-23.0,AR_LIST_2011.03.23_00:00:00.txt
547,2011-03-29.5,2011-03-23.0,AR_LIST_2011.03.23_00:00:00.txt
441,2011-03-28.9,2011-03-23.5,AR_LIST_2011.03.23_12:00:00.txt
525,2011-03-29.4,2011-03-24.0,AR_LIST_2011.03.24_00:00:00.txt
491,2011-03-28.8,2011-03-24.5,AR_LIST_2011.03.24_12:00:00.txt
545,2011-03-29.4,2011-03-25.0,AR_LIST_2011.03.25_00:00:00.txt
501,2011-03-28.8,2011-03-25.5,AR_LIST_2011.03.25_12:00:00.txt
484,2011-03-29.4,2011-03-26.0,AR_LIST_2011.03.26_00:00:00.txt
318,2011-03-28.8,2011-03-26.5,AR_LIST_2011.03.26_12:00:00.txt
224,2011-03-29.4,2011-03-27.0,AR_LIST_2011.03.27_00:00:00.txt
14,2011-03-29.1,2011-03-27.5,AR_LIST_2011.03.27_12:00:00.txt
14,2011-03-29.7,2011-03-28.0,AR_LIST_2011.03.28_00:00:00.txt
428,2011-04-07.2,2011-03-30.5,AR_LIST_2011.03.30_12:00:00.txt
297,2011-04-07.7,2011-03-31.0,AR_LIST_2011.03.31_00:00:00.txt
291,2011-04-07.2,2011-03-31.5,AR_LIST_2011.03.31_12:00:00.txt
94,2011-04-07.6,2011-04-01.0,AR_LIST_2011.04.01_00:00:00.txt
54,2011-04-07.1,2011-04-01.5,AR_LIST_2011.04.01_12:00:00.txt
54,2011-04-07.6,2011-04-02.0,AR_LIST_2011.04.02_00:00:00.txt
26,2011-04-07.1,2011-04-02.5,AR_LIST_2011.04.02_12:00:00.txt
17,2011-04-07.6,2011-04-03.0,AR_LIST_2011.04.03_00:00:00.txt
948,2011-05-01.2,2011-04-21.0,AR_LIST_2011.04.21_00:00:00.txt
924,2011-04-30.7,2011-04-21.5,AR_LIST_2011.04.21_12:00:00.txt
1341,2011-05-01.3,2011-04-22.0,AR_LIST_2011.04.22_00:00:00.txt
1104,2011-04-30.8,2011-04-22.5,AR_LIST_2011.04.22_12:00:00.txt
1277,2011-05-01.3,2011-04-23.0,AR_LIST_2011.04.23_00:00:00.txt
821,2011-04-30.9,2011-04-23.5,AR_LIST_2011.04.23_12:00:00.txt
913,2011-05-01.3,2011-04-24.0,AR_LIST_2011.04.24_00:00:00.txt
429,2011-05-04.3,2011-04-24.0,AR_LIST_2011.04.24_00:00:00.txt
431,2011-04-30.7,2011-04-24.5,AR_LIST_2011.04.24_12:00:00.txt
630,2011-05-03.8,2011-04-24.5,AR_LIST_2011.04.24_12:00:00.txt
561,2011-05-01.1,2011-04-25.0,AR_LIST_2011.04.25_00:00:00.txt
834,2011-05-04.4,2011-04-25.0,AR_LIST_2011.04.25_00:00:00.txt
263,2011-04-30.5,2011-04-25.5,AR_LIST_2011.04.25_12:00:00.txt
880,2011-05-03.9,2011-04-25.5,AR_LIST_2011.04.25_12:00:00.txt
356,2011-04-30.9,2011-04-26.0,AR_LIST_2011.04.26_00:00:00.txt
834,2011-05-04.5,2011-04-26.0,AR_LIST_2011.04.26_00:00:00.txt
187,2011-04-30.4,2011-04-26.5,AR_LIST_2011.04.26_12:00:00.txt
845,2011-05-04.0,2011-04-26.5,AR_LIST_2011.04.26_12:00:00.txt
250,2011-04-30.9,2011-04-27.0,AR_LIST_2011.04.27_00:00:00.txt
703,2011-05-04.5,2011-04-27.0,AR_LIST_2011.04.27_00:00:00.txt
201,2011-04-30.4,2011-04-27.5,AR_LIST_2011.04.27_12:00:00.txt
645,2011-05-04.0,2011-04-27.5,AR_LIST_2011.04.27_12:00:00.txt
214,2011-04-30.9,2011-04-28.0,AR_LIST_2011.04.28_00:00:00.txt
511,2011-05-04.4,2011-04-28.0,AR_LIST_2011.04.28_00:00:00.txt
321,2011-04-30.3,2011-04-28.5,AR_LIST_2011.04.28_12:00:00.txt
497,2011-05-04.0,2011-04-28.5,AR_LIST_2011.04.28_12:00:00.txt
254,2011-04-30.8,2011-04-29.0,AR_LIST_2011.04.29_00:00:00.txt
417,2011-05-04.4,2011-04-29.0,AR_LIST_2011.04.29_00:00:00.txt
210,2011-04-30.3,2011-04-29.5,AR_LIST_2011.04.29_12:00:00.txt
445,2011-05-03.9,2011-04-29.5,AR_LIST_2011.04.29_12:00:00.txt
99,2011-04-30.8,2011-04-30.0,AR_LIST_2011.04.30_00:00:00.txt
322,2011-05-04.4,2011-04-30.0,AR_LIST_2011.04.30_00:00:00.txt
21,2011-04-30.3,2011-04-30.5,AR_LIST_2011.04.30_12:00:00.txt
319,2011-05-03.8,2011-04-30.5,AR_LIST_2011.04.30_12:00:00.txt
