Semana,Filas_unicas
2014-00,4.0
2014-01,2.0
2014-02,2.0
2014-03,4.0
2014-04,4.0
2014-05,3.0
2014-06,4.0
2014-07,2.0
2014-08,5.0
2014-09,1.0
2014-10,3.0
2014-11,5.0
2014-12,1.0
2014-13,4.0
2014-14,4.0
2014-15,2.0
2014-16,2.0
2014-17,2.0
2014-18,5.0
2014-19,2.0
2014-20,4.0
2014-21,2.0
2014-22,1.0
2014-23,2.0
2014-24,2.0
2014-25,3.0
2014-26,9.0
2014-27,3.0
2014-28,0.0
2014-29,1.0
2014-30,7.0
2014-31,2.0
2014-32,2.0
2014-33,7.0
2014-34,1.0
2014-35,4.0
2014-36,3.0
2014-37,4.0
2014-38,5.0
2014-39,3.0
2014-40,1.0
2014-41,3.0
2014-42,3.0
2014-43,1.0
2014-44,1.0
2014-45,4.0
2014-46,1.0
2014-47,4.0
2014-48,1.0
2014-49,4.0
2014-50,0.0
2014-51,3.0
2014-52,3.0
