strength,date,,filename
1528,2015-01-01.6,2015-01-01.0,AR_LIST_2015.01.01_00:00:00.txt
284,2015-01-04.2,2015-01-01.0,AR_LIST_2015.01.01_00:00:00.txt
1804,2015-01-04.5,2015-01-01.0,AR_LIST_2015.01.01_00:00:00.txt
8808,2015-01-07.1,2015-01-01.0,AR_LIST_2015.01.01_00:00:00.txt
26,2015-01-08.0,2015-01-01.0,AR_LIST_2015.01.01_00:00:00.txt
750,2015-01-01.4,2015-01-01.5,AR_LIST_2015.01.01_12:00:00.txt
1190,2015-01-03.6,2015-01-01.5,AR_LIST_2015.01.01_12:00:00.txt
181,2015-01-03.7,2015-01-01.5,AR_LIST_2015.01.01_12:00:00.txt
10029,2015-01-06.5,2015-01-01.5,AR_LIST_2015.01.01_12:00:00.txt
490,2015-01-10.5,2015-01-01.5,AR_LIST_2015.01.01_12:00:00.txt
174,2015-01-02.1,2015-01-02.0,AR_LIST_2015.01.02_00:00:00.txt
1023,2015-01-03.8,2015-01-02.0,AR_LIST_2015.01.02_00:00:00.txt
135,2015-01-04.5,2015-01-02.0,AR_LIST_2015.01.02_00:00:00.txt
9493,2015-01-07.1,2015-01-02.0,AR_LIST_2015.01.02_00:00:00.txt
619,2015-01-11.1,2015-01-02.0,AR_LIST_2015.01.02_00:00:00.txt
877,2015-01-03.3,2015-01-02.5,AR_LIST_2015.01.02_12:00:00.txt
52,2015-01-03.9,2015-01-02.5,AR_LIST_2015.01.02_12:00:00.txt
10301,2015-01-06.7,2015-01-02.5,AR_LIST_2015.01.02_12:00:00.txt
1236,2015-01-10.6,2015-01-02.5,AR_LIST_2015.01.02_12:00:00.txt
443,2015-01-12.3,2015-01-02.5,AR_LIST_2015.01.02_12:00:00.txt
717,2015-01-03.8,2015-01-03.0,AR_LIST_2015.01.03_00:00:00.txt
19,2015-01-04.5,2015-01-03.0,AR_LIST_2015.01.03_00:00:00.txt
9682,2015-01-07.3,2015-01-03.0,AR_LIST_2015.01.03_00:00:00.txt
1290,2015-01-11.3,2015-01-03.0,AR_LIST_2015.01.03_00:00:00.txt
560,2015-01-12.8,2015-01-03.0,AR_LIST_2015.01.03_00:00:00.txt
