Semana,Filas_unicas,strength,date
2015-00,2.0,2015-00,2547.310344827586
2015-01,3.0,2015-01,3492.037037037037
2015-02,0.0,2015-02,1178.142857142857
2015-03,1.0,2015-03,1525.9
2015-04,2.0,2015-04,1855.5230769230768
2015-05,2.0,2015-05,957.4929577464789
2015-06,2.0,2015-06,2207.906976744186
2015-07,2.0,2015-07,1496.2075471698113
2015-08,0.0,2015-08,1054.55
2015-09,1.0,2015-09,932.5106382978724
2015-10,1.0,2015-10,1421.52
2015-11,1.0,2015-11,1438.4
2015-12,4.0,2015-12,1329.5
2015-13,1.0,2015-13,1419.1025641025642
2015-14,0.0,2015-14,2761.9814814814813
2015-15,3.0,2015-15,2320.3571428571427
2015-16,1.0,2015-16,904.1
2015-17,2.0,2015-17,1501.9333333333334
2015-18,3.0,2015-18,2946.0285714285715
2015-19,4.0,2015-19,1141.7906976744189
2015-20,0.0,2015-20,1032.304347826087
2015-21,1.0,2015-21,1461.3684210526317
2015-22,3.0,2015-22,701.5172413793103
2015-23,3.0,2015-23,124.66666666666669
2015-24,1.0,2015-24,1344.857142857143
2015-25,0.0,2015-25,2891.64
2015-26,3.0,2015-26,1153.2666666666669
2015-27,1.0,2015-27,1478.6666666666667
2015-28,2.0,2015-28,1026.7
2015-29,1.0,2015-29,1218.0731707317073
2015-30,2.0,2015-30,329.93333333333334
2015-31,1.0,2015-31,74.75
2015-32,0.0,2015-32,918.3333333333334
2015-33,1.0,2015-33,645.0
2015-34,0.0,2015-34,369.3666666666667
2015-35,1.0,2015-35,554.625
2015-36,1.0,2015-36,1026.607142857143
2015-37,1.0,2015-37,290.1666666666667
2015-38,2.0,2015-38,808.5
2015-39,0.0,2015-39,550.258064516129
2015-40,0.0,2015-40,1087.2888888888888
2015-41,4.0,2015-41,1182.076923076923
2015-42,4.0,2015-42,324.3181818181818
2015-43,2.0,2015-43,871.0555555555555
2015-44,2.0,2015-44,945.2093023255812
2015-45,2.0,2015-45,876.8148148148148
2015-46,2.0,2015-46,814.9473684210526
2015-47,2.0,2015-47,616.4642857142857
2015-48,3.0,2015-48,473.86206896551727
2015-49,2.0,2015-49,1011.5945945945946
2015-50,3.0,2015-50,1084.9583333333333
2015-51,4.0,2015-51,677.9705882352941
2015-52,0.0,2015-52,473.6
