ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12340,113.0,30.0,Hrx,1.0,1.0,Alpha,-6.0,-65.0
I,12341,105.0,60.0,Hsx,1.0,1.0,Alpha,-19.0,-73.0
