Designation,Carrington Longitude,Strength,Detection Date,Prediction Date
FS-2011-001,170.5,421,2011-02-15,2011-02-24.0
FS-2011-001,169.8,456,2011-02-16,2011-02-24.5
FS-2011-001,169.3,478,2011-02-16,2011-02-24.0
FS-2011-001,169.1,347,2011-02-17,2011-02-24.1
FS-2011-001,169.1,399,2011-02-17,2011-02-24.6
FS-2011-001,166.7,552,2011-02-18,2011-02-24.4
FS-2011-001,169.9,248,2011-02-18,2011-02-24.5
FS-2011-001,166.4,686,2011-02-19,2011-02-24.4
FS-2011-001,166.1,546,2011-02-19,2011-02-25.0
FS-2011-001,165.5,759,2011-02-20,2011-02-24.5
FS-2011-001,165.4,789,2011-02-20,2011-02-25.0
FS-2011-001,165.3,643,2011-02-21,2011-02-24.5
FS-2011-001,164.9,665,2011-02-21,2011-02-25.1
FS-2011-001,164.5,652,2011-02-22,2011-02-25.1
FS-2011-001,164.5,629,2011-02-22,2011-02-24.6
FS-2011-001,163.5,585,2011-02-23,2011-02-25.2
FS-2011-001,164.0,545,2011-02-23,2011-02-24.6
FS-2011-001,163.6,513,2011-02-24,2011-02-25.1
FS-2011-001,164.0,485,2011-02-24,2011-02-24.6
FS-2011-001,161.5,270,2011-02-25,2011-02-25.3
FS-2011-001,158.0,12,2011-02-25,2011-02-25.0
FS-2011-002,34.8,404,2011-02-25,2011-03-06.0
FS-2011-002,34.9,307,2011-02-26,2011-03-06.5
FS-2011-002,34.4,411,2011-02-26,2011-03-06.0
FS-2011-002,34.0,270,2011-02-27,2011-03-06.5
FS-2011-002,33.8,325,2011-02-27,2011-03-06.0
FS-2011-002,33.4,213,2011-02-28,2011-03-06.6
FS-2011-002,33.7,263,2011-02-28,2011-03-06.0
FS-2011-002,34.4,189,2011-03-01,2011-03-06.5
FS-2011-002,34.5,230,2011-03-01,2011-03-05.9
FS-2011-002,34.7,193,2011-03-02,2011-03-05.9
FS-2011-002,34.6,186,2011-03-02,2011-03-06.4
FS-2011-002,34.4,153,2011-03-03,2011-03-05.9
FS-2011-002,33.8,166,2011-03-03,2011-03-06.5
FS-2011-002,34.1,66,2011-03-04,2011-03-05.9
FS-2011-002,32.9,92,2011-03-04,2011-03-06.6
FS-2011-002,35.1,31,2011-03-05,2011-03-05.9
FS-2011-002,32.3,28,2011-03-05,2011-03-06.6
FS-2011-002,35.0,18,2011-03-06,2011-03-06.4
FS-2011-003,186.9,745,2011-03-12,2011-03-22.2
FS-2011-003,186.1,939,2011-03-12,2011-03-21.7
FS-2011-003,186.5,1245,2011-03-13,2011-03-21.7
FS-2011-003,187.1,1247,2011-03-13,2011-03-22.2
FS-2011-003,186.5,1289,2011-03-14,2011-03-22.2
FS-2011-003,186.2,1149,2011-03-14,2011-03-21.7
FS-2011-003,187.1,1060,2011-03-15,2011-03-21.7
FS-2011-003,186.8,1134,2011-03-15,2011-03-22.2
FS-2011-003,188.2,974,2011-03-16,2011-03-21.6
FS-2011-003,188.0,939,2011-03-16,2011-03-22.1
FS-2011-003,189.4,815,2011-03-17,2011-03-21.5
FS-2011-003,188.6,827,2011-03-17,2011-03-22.1
FS-2011-003,189.5,713,2011-03-18,2011-03-22.0
FS-2011-003,189.8,794,2011-03-18,2011-03-21.5
FS-2011-003,189.9,952,2011-03-19,2011-03-21.5
FS-2011-003,189.8,778,2011-03-19,2011-03-22.0
FS-2011-003,189.8,1003,2011-03-20,2011-03-21.5
FS-2011-003,189.4,937,2011-03-20,2011-03-22.0
FS-2011-003,189.0,935,2011-03-21,2011-03-21.5
FS-2011-003,189.7,1010,2011-03-21,2011-03-22.0
