InicioSemana,Strength,Number of AR detected,Fecha
2010-12-27,0.0,0.16666666666666666,2010-12-27
2011-01-03,0.0,0.0,2011-01-03
2011-01-10,0.0,0.16666666666666666,2011-01-10
2011-01-17,0.0,0.0,2011-01-17
2011-01-24,0.0,0.16666666666666666,2011-01-24
2011-01-31,0.0,0.0,2011-01-31
2011-02-07,0.0,0.0,2011-02-07
2011-02-14,0.0,0.16666666666666666,2011-02-14
2011-02-21,0.15792865190575467,0.3333333333333333,2011-02-21
2011-02-28,0.06115791974159336,0.16666666666666666,2011-02-28
2011-03-07,0.0,0.5,2011-03-07
2011-03-14,0.0,0.0,2011-03-14
2011-03-21,0.45995711640713033,0.6666666666666666,2011-03-21
2011-03-28,0.13184103452897716,0.16666666666666666,2011-03-28
2011-04-04,0.04894790064508765,0.5,2011-04-04
2011-04-11,0.0,0.3333333333333333,2011-04-11
2011-04-18,0.0,0.5,2011-04-18
2011-04-25,0.16607351159392783,0.16666666666666666,2011-04-25
2011-05-02,0.13612675476064462,0.0,2011-05-02
2011-05-09,0.0828349087839945,0.0,2011-05-09
2011-05-16,0.0,0.5,2011-05-16
2011-05-23,0.0,0.3333333333333333,2011-05-23
2011-05-30,0.11012307226813138,0.8333333333333333,2011-05-30
2011-06-06,0.0,0.16666666666666666,2011-06-06
2011-06-13,0.3232167229541311,0.3333333333333333,2011-06-13
2011-06-20,0.0,0.0,2011-06-20
2011-06-27,0.0,0.16666666666666666,2011-06-27
2011-07-04,0.0,0.16666666666666666,2011-07-04
2011-07-11,0.16156633433729173,0.5,2011-07-11
2011-07-18,0.0,0.16666666666666666,2011-07-18
2011-07-25,0.0,0.5,2011-07-25
2011-08-01,0.0,0.0,2011-08-01
2011-08-08,0.0,0.0,2011-08-08
2011-08-15,0.0,0.5,2011-08-15
2011-08-22,0.15024193049277282,0.5,2011-08-22
2011-08-29,0.0,0.5,2011-08-29
2011-09-05,0.19520636567884161,0.16666666666666666,2011-09-05
2011-09-12,0.40282453111376815,0.5,2011-09-12
2011-09-19,0.5555709642872783,0.3333333333333333,2011-09-19
2011-09-26,0.7506959015824377,0.5,2011-09-26
2011-10-03,0.8685011167275569,0.5,2011-10-03
2011-10-10,0.1749082000846669,0.5,2011-10-10
2011-10-17,0.45707957496672375,0.5,2011-10-17
2011-10-24,0.31132942429713273,0.16666666666666666,2011-10-24
2011-10-31,0.5717519968104872,1.0,2011-10-31
2011-11-07,0.3099225726603826,0.3333333333333333,2011-11-07
2011-11-14,0.7690055619135123,1.0,2011-11-14
2011-11-21,0.0,0.3333333333333333,2011-11-21
2011-11-28,1.0,0.6666666666666666,2011-11-28
2011-12-05,0.08867467065494776,0.5,2011-12-05
2011-12-12,0.2020900394733433,0.16666666666666666,2011-12-12
2011-12-19,0.2912703282950517,0.5,2011-12-19
2011-12-26,0.47618109939363856,0.3333333333333333,2011-12-26
