Semana,Filas_unicas
2016-00,2.0
2016-01,2.0
2016-02,0.0
2016-03,1.0
2016-04,1.0
2016-05,1.0
2016-06,0.0
2016-07,2.0
2016-08,0.0
2016-09,2.0
2016-10,2.0
2016-11,2.0
2016-12,1.0
2016-13,0.0
2016-14,2.0
2016-15,0.0
2016-16,2.0
2016-17,2.0
2016-18,2.0
2016-19,0.0
2016-20,1.0
2016-21,0.0
2016-22,0.0
2016-23,1.0
2016-24,1.0
2016-25,0.0
2016-26,0.0
2016-27,2.0
2016-28,2.0
2016-29,0.0
2016-30,1.0
2016-31,0.0
2016-32,6.0
2016-33,1.0
2016-34,0.0
2016-35,2.0
2016-36,0.0
2016-37,1.0
2016-38,0.0
2016-39,0.0
2016-40,2.0
2016-41,0.0
2016-42,0.0
2016-43,0.0
2016-44,1.0
2016-45,0.0
2016-46,0.0
2016-47,1.0
2016-48,0.0
2016-49,0.0
2016-50,0.0
2016-51,0.0
2016-52,0.0
