ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12360,126.0,60.0,Cao,5.0,2,Beta,15.0,91.0
I,12362,98.0,10.0,Hrx,1.0,1,Alpha,7.0,63.0
I,12365,82.0,100.0,Cao,6.0,9,Beta,-15.0,47.0
I,12366,80.0,10.0,Bxo,7.0,6,Beta,16.0,45.0
I,12367,1.0,340.0,Ekc,11.0,15,Beta-Gamma,-20.0,-34.0
I,12368,100.0,10.0,Bxo,3.0,4,Beta,-6.0,65.0
I,12370,12.0,20.0,Cri,4.0,10,Beta,18.0,-23.0
IA,12361,109.0,,,,,,18.0,74.0
IA,12364,84.0,,,,,,-7.0,49.0
IA,12369,355.0,,,,,,6.0,-40.0
