ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12418,201.0,60.0,Hax,3.0,2,Alpha,-15.0,88.0
I,12420,102.0,150.0,Fai,16.0,17,Beta,10.0,-9.0
I,12421,122.0,70.0,Dac,5.0,17,Beta,17.0,9.0
I,12422,102.0,310.0,Eko,11.0,17,Beta-Gamma,-20.0,-10.0
I,12423,149.0,10.0,Bxo,6.0,4,Beta,-8.0,37.0
I,12424,142.0,20.0,Cro,3.0,3,Beta,12.0,30.0
I,12425,114.0,10.0,Bxi,3.0,2,Beta,-6.0,1.0
I,12426,64.0,10.0,Bxo,4.0,3,Beta,16.0,-48.0
IA,12419,201.0,,,,,,13.0,88.0
