ID,Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude
I,12356,200.0,70.0,Hsx,2.0,1,Alpha,-16.0,59.0
I,12358,147.0,10.0,Axx,2.0,3,Alpha,-4.0,6.0
I,12360,132.0,90.0,Dai,10.0,10,Beta,15.0,-9.0
I,12361,105.0,110.0,Dai,5.0,16,Beta,16.0,-36.0
I,12362,100.0,210.0,Dai,8.0,10,Beta,7.0,-41.0
I,12363,171.0,10.0,Bxo,3.0,3,Beta,4.0,30.0
I,12364,77.0,10.0,Bxo,2.0,3,Beta,-5.0,-64.0
I,12365,77.0,70.0,Cso,4.0,3,Beta,-13.0,-64.0
IA,12357,203.0,,,,,,9.0,62.0
IA,12359,210.0,,,,,,-13.0,69.0
